adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,3,0.5557909551924277,140,0.3233651456589754,0.44665623726857995,0.58035163013986,0.6258862199380315,0.8190990030822156
NEAREST_OBSERVED,D_OPTIMAL,5,0.5560989870677512,99,0.26125408469634476,0.5160873532787265,0.5606624510445603,0.6528283003904608,0.8347314072159244
OFFSET_K2,FARTHEST_FROM_EXISTING,3,0.5566095155507746,140,0.3161454636293204,0.4473714609411437,0.5788052764758564,0.6196040659278683,0.8200526471588166
OFFSET_K2,RANDOM,5,0.5571969917552678,99,0.2623825165665874,0.4940363851004652,0.5454335085959415,0.6268153520894565,0.8198819766590805
OFFSET_K3,MAX_CONDITION_COVERAGE,2,0.5574038545228489,143,0.35031214536907135,0.44222301477062154,0.5437732986273109,0.6248566178144233,0.815820266035201
OFFSET_K2,CENTRAL_THEN_SPREAD,5,0.5577809122517016,99,0.27234880626405883,0.48690842436943493,0.568570101033681,0.6296220718707792,0.8164174489203143
OFFSET_K3,CENTRAL,5,0.5581880167069261,99,0.3077669274421375,0.49236050683049404,0.5057475072810863,0.6285169105993265,0.8195005694382947
OFFSET_K3,D_OPTIMAL,2,0.5585783303063346,143,0.371287486268376,0.42054548161613264,0.6032355930807067,0.6430217499179561,0.8205215720829023
OFFSET_K2,MAX_CONDITION_COVERAGE,5,0.5587661626912859,99,0.27467012785113387,0.48912549190355303,0.5588845922435549,0.6269772223411824,0.8149390976236046
OFFSET_K3,MEDIAN_PREDICTION,5,0.559326154483899,99,0.3349434049578171,0.4861362949000957,0.5411127007783711,0.6310747035002615,0.8222410284473703
NEAREST_OBSERVED,MAX_ENSEMBLE_SD,5,0.5596543946089193,99,0.2898686035677009,0.5186439920395292,0.5791302027182216,0.6594731813882603,0.8236005691180662
OFFSET_K3,CENTRAL,3,0.5599320422355264,140,0.3538926989763251,0.45852850068984513,0.5167509285059763,0.6268857959880775,0.8160802441157414
OFFSET_K2,MAX_CONDITION_COVERAGE,3,0.5601866985266971,140,0.32901275761382254,0.4522082480090268,0.5598030867500844,0.6195556320215371,0.8148005073092462
OFFSET_K3,MEDOID,3,0.5603488970735472,140,0.35444258811084006,0.46127260311936513,0.5138835002298846,0.6309315933690293,0.8181638323186501
OFFSET_K2,MAX_ENSEMBLE_SD,5,0.5605111133698255,99,0.2728566199273684,0.4956004947813328,0.5443917840717625,0.617233283722791,0.8133666778967064
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,5,0.5630151735936779,99,0.2713756854360182,0.4852911416751236,0.5642611202849089,0.627840315989441,0.8129396925681411
OFFSET_K2,MID_ACID,5,0.563535913030547,99,0.31726765077792657,0.49004998877334616,0.5555148500552417,0.6210448936519211,0.8247690921175016
OFFSET_K2,MAX_ENSEMBLE_SD,3,0.5636174584065553,140,0.33345180301450467,0.4601643667098206,0.5269310402226692,0.611266619690298,0.8189111776095969
NEAREST_OBSERVED,MIN_ENSEMBLE_SD,5,0.5642174995654059,99,0.26414844574600577,0.5134167875423827,0.5756254288100051,0.6624898818777615,0.8258165663240487
NEAREST_OBSERVED,ORACLE[OFFSET_K1],2,0.5645785582667585,143,0.3048389000275946,0.5226154488387806,0.3956385716937733,0.6476580608554661,0.8034067370175292
OFFSET_K2,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.5650437060064802,143,0.33689865634614025,0.45884089241953907,0.5181671560585983,0.613228746132757,0.8197774946382768
NEAREST_OBSERVED,FARTHEST_FROM_EXISTING,3,0.5654029611800614,140,0.32864313504301246,0.4918096624193259,0.5290628909523266,0.641602999777039,0.825704996872684
OFFSET_K3,MAX_MODEL_DISAGREEMENT,5,0.5661564618337247,99,0.33559584254073915,0.48431234654188765,0.5684098072909138,0.6326138694410034,0.8143925014739835
OFFSET_K3,MAX_MODEL_DISAGREEMENT,3,0.5683954919719597,140,0.3767881353359843,0.4498916059492489,0.581857166416373,0.6243098241270727,0.8134073223632424
NEAREST_OBSERVED,RANDOM,5,0.5708878773500116,99,0.30105995622879295,0.5174056892075175,0.5665136508103653,0.6661287161380907,0.8197585585637807
OFFSET_K3,RANDOM,2,0.5712729814053713,143,0.3680816422788866,0.44230074751261406,0.5283981063756701,0.6038336309975132,0.8121235090453568
NEAREST_OBSERVED,RANDOM,3,0.5736984533436943,140,0.3655601020190702,0.49331230768423345,0.5362975547063968,0.6374774572984702,0.8173057426439225
OFFSET_K2,MID_ACID,3,0.5747589357575573,140,0.3680344319359115,0.4604352807655749,0.5247475771792122,0.5971683997873728,0.819536749188535
OFFSET_K2,D_OPTIMAL,3,0.5748191009477074,140,0.35196957978566284,0.44453349054701763,0.5784804838363311,0.6091952855666837,0.8159136575621945
OFFSET_K2,MIN_ENSEMBLE_SD,2,0.5758365397631284,143,0.3522714366551523,0.46383393887585833,0.5100078876137206,0.6172216992313059,0.8202514838478682
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,2,0.5765935598434576,143,0.3794598696139772,0.44458045045429456,0.5744246320941626,0.6166117895661581,0.8217548647095927
OFFSET_K2,RANDOM,3,0.5778110498252325,140,0.3461077228484002,0.4634722207826421,0.5342588271729913,0.5952640473766646,0.8153453846533377
OFFSET_K3,MEDOID,5,0.5799387930131089,99,0.3396725588653769,0.5000960769770826,0.5016963915357839,0.621529731655111,0.8067447006353768
NEAREST_OBSERVED,MIN_ENSEMBLE_SD,3,0.5811849524501329,140,0.3494067930405755,0.5036953556362055,0.5217791758009616,0.6328937410570309,0.815459578586264
OFFSET_K2,CENTRAL,5,0.5814669755695286,99,0.3133962360825058,0.5114373673324273,0.49963339206111335,0.6043184810362446,0.8099497847426347
OFFSET_K2,CENTRAL_THEN_SPREAD,2,0.5824254779004098,143,0.36772497382467173,0.45691870983507726,0.5324463184793823,0.6114290227166499,0.8134426463729246
NEAREST_OBSERVED,MAX_ENSEMBLE_SD,3,0.5829060080841995,140,0.3536726160107123,0.4979484323748776,0.529102556602514,0.6328106394044108,0.8085796443066164
OFFSET_K3,MAX_ENSEMBLE_SD,2,0.5849930000302318,143,0.39218094582929536,0.44926424429987216,0.522139209026293,0.6171140050669198,0.8037425173294186
OFFSET_K2,MEDOID,3,0.5854182756295759,140,0.37069045904981607,0.4766470797658978,0.49435284048017036,0.5958231364532572,0.8091458054644101
OFFSET_K3,MEDIAN_PREDICTION,2,0.5854473379013404,143,0.3909806378590692,0.4615358211827336,0.5179724181678304,0.6188911762387004,0.8096348292985881
OFFSET_K2,CENTRAL,3,0.5857889574667482,140,0.36692100912909853,0.4761581494165258,0.4944032175371574,0.5915361968649689,0.8073269709704303
NEAREST_OBSERVED,D_OPTIMAL,3,0.5863626308242755,140,0.35436812247170785,0.5147825146461552,0.5362449014172795,0.626752415279301,0.8141074233223033
OFFSET_K2,MAX_MODEL_DISAGREEMENT,5,0.5871408151175993,99,0.32646376932659976,0.5051680046460747,0.5491469678167875,0.6024584391858039,0.7949158609447692
