model,axis_label,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
GEN9_A3_RAND_d05,metal_series,1605,1210,84,0.08443469855079262,0.0462594833690475,0.10187962265004488,0.08312069411715131,0.333950581199161,0.21441609647852375,0.3321610350557958,0.7395638629283489,1.0261096605744122,0.630654358,0.476334407466537,0.5675070328631839,0.3059057603869678,0.7401690100508408,0.46927906951049403,0.33627970795292,0.2609645242040816,0.4211351137715704,0.6876144193311975,1.1210019470270107,8.0,8.0,1.0,0.7499765481432612,0.8742223263723046
GEN9_A3_RAND_d05,temperature,160,160,5,-0.04032650561688559,-0.0011382442848275865,0.03900138726573306,0.04041299010007082,0.0309584607121334,-0.04373539239338092,-0.07593223354803817,0.6625,1.1765941508309075,0.119467532,0.09650273175396215,0.09650273175396215,0.04297468614740456,0.1806545423065195,0.1167093669273579,0.4102864400845176,0.37262106223094804,0.30090706058279015,0.6251041666666667,1.3316432096063315,3.0,4.0,0.6,0.5989946098530601,0.9893613987029377
GEN9_A4_MULTI_d05,acid,2105,1950,68,1.6557758087863772,0.4535069743029744,1.525406134854564,1.2307698934313602,0.21069493471055556,0.1641425607207922,0.18488522943341215,0.8304038004750594,1.9269282814614344,0.6251735600000001,0.293887170529277,0.31289015097986916,0.16685787959312082,0.5085506829370011,0.28949359777803707,0.5931699024055175,0.5295906523199999,0.5871664178451497,0.7774000775821767,1.2875119784248874,5.0,5.0,1.0,0.8874834557440856,0.917337219586492
GEN9_A4_MULTI_d05,contact_time,40,0,8,0.00014296899524398737,1.8616471672409135e-17,0.003493024860119394,0.0009744312459341651,0.07018739173049023,0.22337431338700134,0.2747114007055792,0.6,0.06287846248431395,0.020802551999999995,,0.1174361231672611,,,,0.06534399664100801,0.0264810754709862,0.17996339617155624,0.5593404150197628,1.9992226915646085,3.0,5.0,0.6,0.4606292885485347,0.1646628381999693
GEN9_A4_MULTI_d05,extractant,775,775,25,2.573675226299942,0.07872302526754286,2.468120114287593,2.349223873000416,0.02963661120266664,-0.11270075613546894,-0.18955055327547954,0.72,2.073913043478258,0.11618726599999996,0.060439338625336805,0.060439338625336805,0.030358346269918776,0.11065582687922215,0.062150067756396886,0.679653597371275,0.5892852856403776,0.37812827040637653,0.6700616408680925,1.2274370475629355,5.0,5.0,1.0,0.7093900524235148,0.9940258395786431
GEN9_A4_MULTI_d05,metal_concentration,45,30,4,-1.1226193871745382,-0.0031485708081256665,0.8476447901217589,1.1194708163664127,0.002804664558706882,0.04992093383592435,0.1742907076368534,0.6,0.72923076923077,0.010343736999999964,0.018187227884308297,0.02266098852037944,0.004679081663250073,0.02828847927924866,0.01908406664027025,0.265054125748876,0.22885108136538454,0.19317299182591677,0.5727950136283468,0.5682627324180866,6.0,8.0,0.75,0.6026063973282711,0.7515429813530872
GEN9_A4_MULTI_d05,metal_series,1605,1210,84,0.08443469855079262,0.046029136499999984,0.09785670196087198,0.08248752399895382,0.31117875617183105,0.27546284359115564,0.35014794400266913,0.7607476635514019,1.0261096605744122,0.5974472430000001,0.4415313799685341,0.5213472873323557,0.28739127406038956,0.6773698025442997,0.42628912414908154,0.31634005095763457,0.24871078775308642,0.4532743994893969,0.7027648279993243,1.1136336815123575,8.0,8.0,1.0,0.7578813008071508,0.8742223263723046
GEN9_A4_MULTI_d05,temperature,160,160,5,-0.04032650561688559,-4.502059380149522e-18,0.03858874510957569,0.040860912297709384,9.459287390486067e-17,-0.06371008754587507,-0.05523850308076328,0.5625,1.1765941508309075,0.073146564,0.07404686642098512,0.07404686642098512,0.025790529705427286,0.18628600419002428,0.08012771400810081,0.3974208732797215,0.35470744672827986,0.10781657473181835,0.5623958333333333,1.2465534721977405,2.0,4.0,0.5,0.5989946098530612,0.9893613987029377
GEN9_REL_MONOLITH,acid,2105,1950,68,1.6557758087863772,0.49412787122149354,1.4540935918300408,1.218464895614612,0.26892205187918894,0.2250700708648331,0.2672417437632292,0.8375296912114014,1.9269282814614344,0.5742144371044158,0.2841375274036503,0.2954360166949329,0.16216621444733856,0.49202114344281356,0.2842789834642848,0.5523870746457661,0.496220663341552,0.6188150684007264,0.792869180423605,1.237884096942294,5.0,5.0,1.0,0.9488555807897892,0.917337219586492
GEN9_REL_MONOLITH,contact_time,40,0,8,0.00014296899524398737,-2.1301723432646543e-06,0.0020034420423905245,0.0007017212299468618,1.9249768469765133e-14,0.23194381911029927,0.5217785206146436,0.575,0.06287846248431395,0.05193436221575646,,0.32618697554194,,,,0.049293004831779626,0.023990083731183245,0.1589220830798599,0.5425,2.1485538066939114,3.0,5.0,0.6,0.4212034632385686,0.1646628381999693
