feature,importance
base__ecfp_1274,0.00015876121681623895
base__ecfp_904,0.00015795373112131473
base__cond__diluent__phenyl_trifluoromethyl_sulfone,0.0001539793249391269
base__ecfp_935,0.00015364053040754883
base__ecfp_1420,0.0001513642354159842
base__ecfp_80,0.0001450581407457664
base__ecfp_1721,0.00014265460880910033
base__ecfp_1028,0.00014099645060393983
base__ecfp_960,0.0001355012102911996
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_02,0.00013138142824692148
base__ecfp_1057,0.00013130850548800287
base__NumAliphaticRings,0.00012872953182032037
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_01,0.00012847320274661167
base__ecfp_1687,0.0001269225391775857
base__ecfp_741,0.00012441315294458837
base__ecfp_1085,0.00012358119187296854
base__ecfp_352,0.00012328997484211985
base__ecfp_1823,0.00012205891587963086
base__ecfp_953,0.00012160857054794227
base__cond__diluent__ch3cl,0.00011933964040205467
base__ecfp_2037,0.00011874261119082334
base__ecfp_1066,0.00011846652263381245
base__ecfp_5,0.00011760368362796326
base__ecfp_1544,0.00011518960865624723
base__ecfp_877,0.00011434445289098074
base__ecfp_1495,0.00011392455342256597
missingindicator_delta3d__feat3d__complex_physical__dipole_magnitude,0.00011386487964925846
delta3d__feat3d__polyhedron__donor_atomic_number_02,0.0001129635622895777
base__ecfp_1130,0.00011152584727917821
base__ecfp_603,0.00010867153997651679
base__ecfp_1452,9.537815231913035e-05
base__ecfp_890,9.441415203144328e-05
base__cond__diluent__hydrogenated_tetrapropene,9.425968203611956e-05
base__ecfp_418,8.968912703427042e-05
base__ecfp_222,8.808660096204719e-05
base__ecfp_1998,8.535222385381478e-05
base__ecfp_1480,8.499859442009858e-05
base__ecfp_1008,8.426966585150706e-05
base__ecfp_205,8.373482228744515e-05
base__ecfp_868,8.366211254733193e-05
base__ecfp_1089,8.348193306629337e-05
base__ecfp_1184,7.957049243317587e-05
base__ecfp_951,7.937893618444102e-05
base__ecfp_1199,7.886468975932516e-05
base__ecfp_448,7.570385370366974e-05
base__ecfp_1142,7.503100314090336e-05
base__ecfp_605,7.392045310955091e-05
base__ecfp_1410,7.347558616016738e-05
base__ecfp_1754,7.3463372635122e-05
base__ecfp_1847,7.337390857758135e-05
base__ecfp_475,7.268868892858087e-05
base__ecfp_1009,7.220245634533027e-05
base__ecfp_1492,7.1519411552903e-05
base__ecfp_83,6.823003903028668e-05
base__ecfp_1218,6.797111688394443e-05
base__ecfp_1879,6.672004754230364e-05
base__ecfp_1504,6.65772179884676e-05
base__ecfp_9,6.648128095117091e-05
base__ecfp_1328,6.474079553983487e-05
base__ecfp_556,6.267418355843968e-05
base__ecfp_2009,6.115043745301796e-05
base__cond__acid__lactic_acid,6.085407239411452e-05
base__cond__acid__citric_acid,5.520557534110184e-05
base__ecfp_969,5.3364287693139215e-05
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_08,5.261178841290811e-05
base__ecfp_1514,4.927564706469994e-05
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_04,4.90895309792715e-05
base__ecfp_1021,4.8892063503268133e-05
base__ecfp_406,4.6591461926478474e-05
base__ecfp_943,4.651307133663487e-05
base__ecfp_204,4.5654447813106625e-05
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_03,4.488690680429705e-05
base__ecfp_243,4.414833467077347e-05
base__cond__diluent__kerosene,4.371643829983925e-05
base__ecfp_1292,4.278276683700808e-05
base__ecfp_1999,4.152926601987467e-05
