comparison,dropped_chemotype,delta,n_units
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc086,-0.005080921827827615,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc092,-0.004941623261404093,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc096,-0.00507408509069632,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc097,-0.004887342479141867,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,(none),-0.0008385465353195174,90
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc000,-0.0011943642762724143,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc001,-0.0007031133776813415,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc007,-0.0004122778403723515,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc008,-0.0005247997339992787,88
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc009,-0.006158174920418077,67
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc010,-0.0005071736401101184,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc012,-0.0010389120630586615,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc015,-0.0005895285935208173,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc016,-0.0011004127499261611,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc017,-0.001184172282851956,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc018,-0.0009734701866474073,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc019,-0.0003250237862553507,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc020,-0.0007073727313939386,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc021,-0.0004966409664828654,89
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc027,8.271622689926182e-05,84
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc028,0.0006494132424130674,88
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc029,-0.00023012814180814947,87
X_X_RESP3D_ADD_vs_X_RESP3D_SHUFFLED,sc030,-0.0009826021126876738,87
