design,pair,arm,n_units,obs_spread,spearman,top1,regret
A,Dy/Ho,HEAVIER_ALWAYS,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
A,Dy/Ho,G14_TIED,57.0,1.2886539464998008,0.3468248498761137,0.011799237820224776,0.5790155248078493
A,Dy/Ho,_RANDOM,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
A,Er/Yb,FLAT,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
A,Er/Yb,MEAN_CURVE,58.0,2.9722245269820182,0.04712611300632384,0.022483766233766234,1.4772872975488258
A,Er/Yb,G14,58.0,2.9722245269820182,0.30350898575710816,0.034999999999999996,1.3936061029426832
A,Er/Yb,G13_FULL,58.0,2.9722245269820182,0.29836668042856707,0.0,1.3419504633168717
A,Er/Yb,O_BOTH,58.0,2.9722245269820182,0.6865589000612123,0.5,0.4004497632038138
A,Er/Yb,HEAVIER_ALWAYS,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
A,Er/Yb,G14_TIED,58.0,2.9722245269820182,0.33312817050513643,0.03727159378163682,1.3700546535451763
A,Er/Yb,_RANDOM,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BP,Nd/Dy,FLAT,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BP,Nd/Dy,MEAN_CURVE,71.0,4.090574848000005,-0.5083661496371924,0.014814814814814814,2.611356193745271
BP,Nd/Dy,G14,71.0,4.090574848000005,0.4774654104224,0.0,1.6498447013884214
BP,Nd/Dy,G13_FULL,71.0,4.090574848000005,0.5372814857372654,0.0,1.1434027904000015
BP,Nd/Dy,O_BOTH,71.0,4.090574848000005,0.9708920187793426,0.5,0.03731680850000085
BP,Nd/Dy,HEAVIER_ALWAYS,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BP,Nd/Dy,G14_TIED,71.0,4.090574848000005,0.6403453099591593,0.032792317592358275,1.5021302645795054
BP,Nd/Dy,_RANDOM,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BP,Pr/Nd,FLAT,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BP,Pr/Nd,MEAN_CURVE,71.0,1.3249782835000128,-0.2173184597405684,0.0,0.7293733763319744
BP,Pr/Nd,G14,71.0,1.3249782835000128,0.23390230844018767,0.02361111111111111,0.6239261488756224
BP,Pr/Nd,G13_FULL,71.0,1.3249782835000128,0.36048227377847974,0.4,0.40017105432538835
BP,Pr/Nd,O_BOTH,71.0,1.3249782835000128,0.6977095144605479,1.0,0.0
BP,Pr/Nd,HEAVIER_ALWAYS,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BP,Pr/Nd,G14_TIED,71.0,1.3249782835000128,0.3122695946102067,0.03118657590396721,0.5879525521599369
BP,Pr/Nd,_RANDOM,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BP,Sm/Eu,FLAT,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BP,Sm/Eu,MEAN_CURVE,77.0,2.110615111616385,-0.3321055094684645,0.0,1.162435255797113
BP,Sm/Eu,G14,77.0,2.110615111616385,0.38734139057073563,0.0125,0.9401786992734579
BP,Sm/Eu,G13_FULL,77.0,2.110615111616385,0.4593517882795265,0.0,1.1844123313297024
BP,Sm/Eu,O_BOTH,77.0,2.110615111616385,0.7735124826919811,0.0,0.7593964563081927
BP,Sm/Eu,HEAVIER_ALWAYS,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BP,Sm/Eu,G14_TIED,77.0,2.110615111616385,0.4988720784046163,0.023444646363625275,0.934880614556473
BP,Sm/Eu,_RANDOM,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BP,Eu/Gd,FLAT,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BP,Eu/Gd,MEAN_CURVE,70.0,1.6474275469810429,-0.40526480384051905,0.018267857142857145,0.8975357910131452
BP,Eu/Gd,G14,70.0,1.6474275469810429,0.2721629911968816,0.0,0.7626643996583288
BP,Eu/Gd,G13_FULL,70.0,1.6474275469810429,0.4445663837154955,0.2,0.5458172150563755
BP,Eu/Gd,O_BOTH,70.0,1.6474275469810429,0.5591083660882155,0.0,0.7187835896612851
BP,Eu/Gd,HEAVIER_ALWAYS,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BP,Eu/Gd,G14_TIED,70.0,1.6474275469810429,0.4037090677577459,0.019725485661424607,0.754840997796458
BP,Eu/Gd,_RANDOM,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BP,La/Ce,FLAT,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BP,La/Ce,MEAN_CURVE,68.0,2.0712666813266707,-0.07786669066139391,0.007692307692307693,1.1044557685149876
