feature_set,endpoint,comparison,reference,candidate,statistic,pooled_point_delta,pooled_ci95_low,pooled_ci95_high,pooled_p_worse_one_sided,pooled_units_improved,pooled_units_total,pooled_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,preregistered,question,mean_point_delta,min_point_delta,max_point_delta,seeds_positive,n_seeds
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,0.19947583932876214,0.09316596237029183,0.36054647589732836,0.0001999600079984003,67,105,65,5000,0.30424008532821656,45,0.21904761904761905,0.06917313044686754,0.06128662535306878,0.3376650533044555,0.005347447667856648,0.07042776801243765,0.3271796910219044,-0.07929246436054652,-0.08049386022711477,True,row-budget-matched depth control: help at BASE's row count?,0.24289608558674208,0.17420378238077314,0.2963533839936924,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,0.20385123134949867,0.09683159957209192,0.36475816388223814,0.0001999600079984003,65,105,65,5000,0.30686997817470624,42,0.21904761904761905,0.06943454352650118,0.06513978471259468,0.34256267798640266,0.004616023398037855,0.07648999155710383,0.338084606459726,-0.06471615494550698,-0.06492738363051591,True,row-budget-matched depth control: help at BASE's row count?,0.24725721991778665,0.17586419431128483,0.2955363398841314,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,0.026491303845660546,-0.00010933635756403491,0.06326694535892609,0.02579484103179364,62,105,65,5000,0.04942320481855182,43,0.21904761904761905,0.017075348319489068,-0.007620625849986549,0.060603233541307644,0.1257286982738261,-0.0068704906251065845,0.05681818417267058,-0.07828669604532612,-0.09807747256794092,True,row-budget-matched depth control: help at BASE's row count?,0.04185222089215333,0.03652691415544607,0.057159259189027714,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,0.2365613727797151,0.13159862912927026,0.3973964443565386,0.0001999600079984003,68,105,65,5000,0.34111550232116783,47,0.21904761904761905,0.06645392664526013,0.10380439287462626,0.36931835268480395,0.0007060544315394055,0.11686834210639106,0.37178330386363173,-0.059693184547680134,-0.05066578869941969,True,A4 information null: is the gain information or just rows/regularisation?,0.27658323114955685,0.1944952703696528,0.3685998536137153,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,0.25600002794149807,0.14807786500388556,0.4212284662848975,0.0001999600079984003,66,105,65,5000,0.3664369324402021,47,0.21904761904761905,0.0677401927797159,0.12067343603626238,0.3913266198467338,0.0003478938063694619,0.13538454466202812,0.396765220007665,-0.06421378651467992,-0.044191090439047204,True,A4 information null: is the gain information or just rows/regularisation?,0.2936244046390183,0.20000869974511404,0.3817219469263061,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,0.0265230392804158,0.01041657161122668,0.05032793684469652,0.0001999600079984003,69,105,65,5000,0.034833241400615576,45,0.21904761904761905,0.010157904427017339,0.00623029238083829,0.04681578617999331,0.011230489447885487,0.008177063094414126,0.04728015207643585,-0.02557039464076243,-0.05868992356568406,True,A4 information null: is the gain information or just rows/regularisation?,0.029819591954418623,0.010941039455005326,0.05915780464171306,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,-0.03513836295800082,-0.08533153141724621,0.020537662816912935,0.8922215556888622,50,105,65,5000,-0.038244916797995125,31,0.21904761904761905,0.025633571092468114,-0.08634730807548514,0.01607058215948351,0.17522734786922756,-0.08721103896177317,0.01881372962744246,-0.0040106159912038294,-0.014207498816649813,True,how much of the apparent gain survives destroying the new labels?,-0.030128100227338694,-0.0780381106783479,-0.0033260508651522273,0,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,-0.049101972808568345,-0.10434464287736407,0.00923274285744858,0.9502099580083984,47,105,65,5000,-0.05895974805791902,26,0.21904761904761905,0.027102232183914964,-0.10324490574057862,0.005040960123441941,0.07471982761672867,-0.10374088905782386,0.009634387217912503,0.009023984261129213,0.0004955354045399448,True,how much of the apparent gain survives destroying the new labels?,-0.0421228684781418,-0.07551662448960131,-0.009832592847586296,0,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,-0.0002946647054141689,-0.020785979732752567,0.027915199681935704,0.5012997400519896,48,105,65,5000,0.013306442025493762,34,0.21904761904761905,0.011868526932138064,-0.02400477291081457,0.023415443499986234,0.9802698832058155,-0.02227134136537121,0.025681720994017283,-0.010026681100274765,-0.030842075167433498,True,how much of the apparent gain survives destroying the new labels?,0.01269767709286448,-0.024784567788578904,0.03121721159389702,4,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,0.0019471704929521214,-0.0067490119752297165,0.009715460783509286,0.3239352129574085,56,105,65,5000,-0.001369499805043866,32,0.21904761904761905,0.003925959957822156,-0.005895836136453038,0.009790177122357281,0.6216124072562551,-0.006151202086037768,0.010488103518948366,0.015541720951108279,0.029113921656170202,False,derived (not pre-registered): needed to score A4's first clause,0.0035590453354760352,-0.02244216389126483,0.02514485485555158,3,5
