species,kind,canonical_smiles,charge,uhf,mode,energy_Eh,energy_eV,converged,xtb_version
lig_077,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,0,0,opt,,,,
lig_078,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_079,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,0,0,opt,,,,
lig_080,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,0,0,opt,,,,
lig_081,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,0,0,opt,,,,
lig_082,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_083,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_084,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_085,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_086,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_087,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,0,0,opt,,,,
lig_088,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0,0,opt,,,,
lig_089,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_090,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0,0,opt,,,,
lig_091,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,0,0,opt,,,,
lig_092,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_093,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_094,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_095,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_096,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,0,0,opt,,,,
lig_097,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0,0,opt,,,,
lig_098,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,0,0,opt,,,,
lig_099,free_ligand,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,0,0,opt,,,,
lig_100,free_ligand,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0,0,opt,,,,
lig_101,free_ligand,CCCCCCCCNC(=O)c1cc(Cl)ccn1,0,0,opt,,,,
lig_102,free_ligand,CCCCCCCCNC(=O)c1cc(OC)ccn1,0,0,opt,,,,
lig_103,free_ligand,CCCCCCCCNC(=O)c1cnccn1,0,0,opt,,,,
lig_104,free_ligand,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,0,0,opt,,,,
lig_105,free_ligand,CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,0,0,opt,,,,
lig_106,free_ligand,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0,0,opt,,,,
lig_107,free_ligand,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0,0,opt,,,,
lig_108,free_ligand,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,0,0,opt,,,,
lig_109,free_ligand,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0,0,opt,,,,
lig_110,free_ligand,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0,0,opt,,,,
lig_111,free_ligand,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0,0,opt,,,,
lig_112,free_ligand,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0,0,opt,,,,
lig_113,free_ligand,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0,0,opt,,,,
lig_114,free_ligand,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,0,0,opt,,,,
lig_115,free_ligand,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,0,0,opt,,,,
lig_116,free_ligand,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,0,0,opt,,,,
lig_117,free_ligand,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,0,0,opt,,,,
lig_118,free_ligand,CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0,0,opt,,,,
lig_119,free_ligand,CCCCCCOP(=O)(O)OCCCCCC,0,0,opt,,,,
lig_120,free_ligand,CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0,0,opt,,,,
lig_121,free_ligand,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0,0,opt,,,,
lig_122,free_ligand,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,0,0,opt,,,,
lig_123,free_ligand,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,0,0,opt,,,,
lig_124,free_ligand,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0,0,opt,,,,
lig_125,free_ligand,CCCCN(C)C(=O)CC(=O)N(C)CCCC,0,0,opt,,,,
lig_126,free_ligand,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0,0,opt,,,,
lig_127,free_ligand,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0,0,opt,,,,
lig_128,free_ligand,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0,0,opt,,,,
lig_129,free_ligand,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,0,0,opt,,,,
lig_130,free_ligand,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,0,0,opt,,,,
lig_131,free_ligand,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,0,0,opt,,,,
lig_132,free_ligand,CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0,0,opt,,,,
lig_133,free_ligand,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0,0,opt,,,,
lig_134,free_ligand,CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,0,0,opt,,,,
lig_135,free_ligand,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,0,0,opt,,,,
lig_136,free_ligand,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,0,0,opt,,,,
lig_137,free_ligand,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,0,0,opt,,,,
lig_138,free_ligand,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,0,0,opt,,,,
lig_139,free_ligand,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0,0,opt,,,,
lig_140,free_ligand,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,0,0,opt,,,,
lig_141,free_ligand,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,0,0,opt,,,,
lig_142,free_ligand,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0,0,opt,,,,
lig_143,free_ligand,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0,0,opt,,,,
lig_144,free_ligand,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0,0,opt,,,,
lig_145,free_ligand,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0,0,opt,,,,
lig_146,free_ligand,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0,0,opt,,,,
lig_147,free_ligand,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0,0,opt,,,,
lig_148,free_ligand,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0,0,opt,,,,
lig_149,free_ligand,CCN(CC)C(=O)COCC(=O)N(CC)CC,0,0,opt,,,,
lig_150,free_ligand,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,0,0,opt,,,,
lig_151,free_ligand,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,0,0,opt,,,,
lig_152,free_ligand,CCOP(=S)(COCP(=S)(OCC)OCC)OCC,0,0,opt,,,,
lig_153,free_ligand,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0,0,opt,,,,
lig_154,free_ligand,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0,0,opt,,,,
lig_155,free_ligand,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0,0,opt,,,,
lig_156,free_ligand,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0,0,opt,,,,
lig_157,free_ligand,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0,0,opt,,,,
lig_158,free_ligand,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,0,0,opt,,,,
lig_159,free_ligand,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,0,0,opt,,,,
lig_160,free_ligand,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,0,0,opt,,,,
lig_161,free_ligand,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,0,0,opt,,,,
lig_162,free_ligand,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,0,0,opt,,,,
lig_163,free_ligand,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0,0,opt,,,,
lig_164,free_ligand,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0,0,opt,,,,
lig_165,free_ligand,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0,0,opt,,,,
