species,canonical_smiles,status,how
lig_099,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,ok,ETKDGv3 + MMFF94s
lig_100,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,ok,ETKDGv3 + MMFF94s
lig_101,CCCCCCCCNC(=O)c1cc(Cl)ccn1,ok,ETKDGv3 + MMFF94s
lig_102,CCCCCCCCNC(=O)c1cc(OC)ccn1,ok,ETKDGv3 + MMFF94s
lig_103,CCCCCCCCNC(=O)c1cnccn1,ok,ETKDGv3 + MMFF94s
lig_104,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,ok,ETKDGv3 + MMFF94s
lig_105,CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,ok,ETKDGv3 + MMFF94s
lig_106,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_107,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],ok,ETKDGv3 + MMFF94s
lig_108,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,ok,ETKDGv3 + MMFF94s
lig_109,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,ok,ETKDGv3 + MMFF94s
lig_110,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,ok,ETKDGv3 + MMFF94s
lig_111,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,ok,ETKDGv3 + MMFF94s
lig_112,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,ok,ETKDGv3 + MMFF94s
lig_113,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,ok,ETKDGv3 + MMFF94s
lig_114,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,ok,ETKDGv3 + MMFF94s
lig_115,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,ok,ETKDGv3 + MMFF94s
lig_116,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,ok,ETKDGv3 + MMFF94s
lig_117,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,ok,ETKDGv3 + MMFF94s
lig_118,CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,ok,ETKDGv3 + MMFF94s
lig_119,CCCCCCOP(=O)(O)OCCCCCC,ok,ETKDGv3 + MMFF94s
lig_120,CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ok,ETKDGv3 + MMFF94s
lig_121,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,ok,ETKDGv3 + MMFF94s
lig_122,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,ok,ETKDGv3 + MMFF94s
lig_123,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,ok,ETKDGv3 + MMFF94s
lig_124,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,ok,ETKDGv3 + MMFF94s
lig_125,CCCCN(C)C(=O)CC(=O)N(C)CCCC,ok,ETKDGv3 + MMFF94s
lig_126,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_127,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_128,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_129,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,ok,ETKDGv3 + MMFF94s
lig_130,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_131,CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_132,CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ok,ETKDGv3 + MMFF94s
lig_133,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,ok,ETKDGv3 + MMFF94s
lig_134,CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,ok,ETKDGv3 + MMFF94s
lig_135,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,ok,ETKDGv3 + MMFF94s
lig_136,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,ok,ETKDGv3 + MMFF94s
lig_137,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_138,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
