extractant,n_reference,nn_tanimoto,nn_partner,mean_top5_tanimoto,n_above_0_5,n_above_0_7,n_above_0_8,supercluster_support,extractant_name,family,n_cells
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,91,0.3333333333333333,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.29640800041684345,0,0,0,0,2-9-bis(diethoxyphosphoryl)-1-10-phenanthroline,phosphoryl,3
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,91,0.3548387096774194,CCCCCCOP(=O)(O)OCCCCCC,0.25466211299827596,0,0,0,0,TWE-29,sulfur_donor,6
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,91,0.3584905660377358,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.32222591873535267,0,0,0,0,DO-PyranDGA,diglycolamide,3
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,91,0.3793103448275862,CCCCCCOP(=O)(O)OCCCCCC,0.24241391492912792,0,0,0,0,TWE-24,sulfur_donor,6
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,91,0.38,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.34085469187675066,0,0,0,0,CHELI2,amide_other,3
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,91,0.44680851063829785,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.4168617021276596,0,0,0,0,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,malonamide,4
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,91,0.475,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.41111429298306373,0,0,0,0,2-(dibutylcarbamoyl)benzoic acid,amide_other,3
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,91,0.47619047619047616,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.46852497096399537,0,0,0,0,TWE-35,phosphoryl,6
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,91,0.4864864864864865,CCCCCCCCN(CCCCCCCC)C(=O)CO,0.46895721632563747,0,0,0,0,TWE-36,phosphoryl,6
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,91,0.5,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.4633239962651727,1,0,0,0,LLL14,diglycolamide,5
