extractant,chemotype,mae_all,n_pairs,n_cells,mae_adjacent,mae_far,entry
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc017,0.2019858022958381,15,1,0.11961607513657813,0.29384376186713507,L1_CORPUS_MEAN_permetal
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,sc018,0.40496306369200374,170,17,0.3655576191558385,0.5366439792495638,L1_CORPUS_MEAN_permetal
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,sc009,0.6517969495353351,91,1,0.16475954659240713,0.9773181777528519,L1_CORPUS_MEAN_permetal
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,sc019,0.3717940535471129,91,1,0.09122017926725913,0.5639831210725104,L1_CORPUS_MEAN_permetal
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,sc020,0.4866630609834033,63,3,0.17618228883797235,0.8509508365185846,L1_CORPUS_MEAN_permetal
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,sc009,1.31481518179587,78,1,0.5049787857325189,1.9007412394201313,L1_CORPUS_MEAN_permetal
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,sc021,1.041287766582678,91,1,0.19403862795316423,1.5848337190677177,L1_CORPUS_MEAN_permetal
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sc009,0.26171598350666747,247,21,0.16174710309036053,0.3337607102875345,L1_CORPUS_MEAN_permetal
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,sc009,0.5777954365303337,229,10,0.22001948904442784,1.1814857603985283,L1_CORPUS_MEAN_permetal
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,sc027,0.10701169776861173,140,5,0.059713914412009954,0.1675933444784576,L1_CORPUS_MEAN_permetal
