model,axis_label,extractant,tanimoto_cluster,split_seed,slope_abs_error,shape_mae,row_mae,spearman,sign_accuracy,span_recovery,span_recovery_distance,slope_recovery_distance,n_curves
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,262147,2.2172646116014096,0.4414318334852068,0.9686278534413666,0.5928053803045812,0.8,1.1079584359893544,0.8017676476973645,50.77275000030832,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,104729,1.466698290639318,0.3705648242769606,0.9672169172783146,0.6924257565631372,0.8518518518518517,0.5501791146023862,0.4729720560710393,1.3491801705457946,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,130363,1.2197585909778035,0.3306080584860314,1.147751179338204,0.6411268389588796,0.8148148148148149,0.7035545695752402,0.3547742500398288,1.2307998741129695,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,155921,1.2781050293554486,0.35105727316277785,1.0150118966646906,0.6411268389588796,0.8148148148148149,0.6267356799780601,0.3732643200219399,1.1416511581714228,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,196613,1.4338566471269534,0.3828709829247239,1.0403027219414838,0.6411268389588796,0.8148148148148149,0.4904545526449459,0.509545447355054,1.1116038538918704,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,tan055,262147,1.5529600974261983,0.4011096280318784,1.0319414734903007,0.6411268389588796,0.8148148148148149,0.5150284395373578,0.515627897555107,1.3479508853987314,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,104729,1.0874867763985232,0.37958241179239427,0.8587863727088457,0.384632250937591,0.6666666666666666,1.1878640947229013,0.6306542214465527,3.2905867966352624,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,130363,0.8496419262341428,0.35513716077636004,1.139107285359209,0.384632250937591,0.6666666666666666,1.3505950410984642,0.4315626235534714,3.1261923631329878,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,155921,0.9736975383396652,0.38279969434738126,1.0046598294981506,0.26493477652765635,0.6296296296296297,1.186678186236693,0.5001117264605566,2.931304286057466,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,196613,1.0699769334676252,0.3774274491447726,1.0218131593339548,0.26493477652765635,0.6296296296296297,0.9329141743850747,0.6419033706081652,2.6228350714602304,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,tan055,262147,1.1819251532590023,0.3995626916475003,0.9868356923780638,0.26493477652765635,0.6296296296296297,1.1772263369193425,0.6765029155102541,3.261788207311969,3
GEN10_MF_025,acid,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,tan055,104729,1.4720253758484088,0.4541742555529119,0.9010422485687734,-0.32045378838509797,0.3333333333333333,1.1465105006677347,0.6256282016448971,1.641105262125329,2
