inject_mult,model,set,n,rho,p
8.0,SPECIES,S8,62,0.8338495630933493,4.0077815727382456e-17
8.0,SPECIES_CONST,S8,19,0.9070175438596491,8.557209257219029e-08
8.0,CYCLEHAT,S8,62,0.8902571076024275,3.686742762303449e-22
8.0,CYCLE_EXT,S8,62,0.9037546271813854,8.773470737389405e-24
8.0,NAIVE,const19,19,0.3017543859649123,0.2092828799051527
8.0,NAIVE,varying43,43,0.20371488976140142,0.19010330555725993
8.0,ELEM,const19,19,0.9508771929824561,4.392139960503315e-10
8.0,ELEM,varying43,43,0.9062216852914529,6.384804349661971e-17
8.0,SPECIES,const19,19,0.787719298245614,6.225179850049198e-05
8.0,SPECIES,varying43,43,0.9386892177589853,1.4369760628501836e-20
8.0,CYCLEHAT,const19,19,0.956140350877193,1.7066431620092997e-10
8.0,CYCLEHAT,varying43,43,0.9343098761703412,5.668738689160537e-20
8.0,CYCLE_EXT,const19,19,0.9649122807017543,2.6387737136486e-11
8.0,CYCLE_EXT,varying43,43,0.9441256418000605,2.2560761823028204e-21
