,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,
V2_BAG_MIX5,random,6,0.46345697633092553,15987,0.3055956567938543,15987,0.3889179749989441,15987,0.3138116192135777,15987
V2_BAG_MIX5,random,7,0.5244722270530362,13075,0.3186531086788594,13075,0.42588167156832085,13075,0.3267705694450852,13075
V2_BAG_MIX5,random,8,0.4878770796887715,10548,0.2746628645346043,10548,0.3675311655907295,10548,0.2701418953676137,10548
V2_BAG_MIX5,random,9,0.4938398749469938,8345,0.29116668467489565,8345,0.3760013094295179,8345,0.2792720686353393,8345
V2_BAG_MIX5,random,10,0.4906905250089054,7033,0.2554360521555546,7033,0.34006748306335227,7033,0.25909002347515486,7033
V2_BAG_MIX5,random,11,0.4831227692277876,6178,0.2648876700410404,6178,0.35852260385290713,6178,0.2503725638363015,6178
V2_BAG_MIX5,random,12,0.497589546599888,3133,0.28254884635223526,3133,0.3562409570685228,3133,0.2760179415578419,3133
V2_BAG_MIX5,random,13,0.4898783723653342,2500,0.23320093692157576,2500,0.35046296942057764,2500,0.23894868737217959,2500
V2_BAG_MIX5,widest,2,0.1172793376616867,60,0.0761067187664391,60,0.11503847043557133,60,0.10675558685738455,60
V2_BAG_MIX5,widest,3,0.2847022736519273,300,0.21798427264954995,300,0.24640457429046156,300,0.17616098660946453,300
V2_BAG_MIX5,widest,4,0.25382084854231984,430,0.1879280836572537,430,0.25051918357845593,430,0.18187708816194018,430
V2_BAG_MIX5,widest,5,0.2692418094939105,3130,0.15730859098060757,3130,0.2186103747677731,3130,0.1304210271382118,3130
V2_BAG_MIX5,widest,6,0.34452478270377745,835,0.19958467063883517,835,0.24785552616982112,835,0.1880723993621521,835
V2_BAG_MIX5,widest,7,0.21264913470342003,6750,0.11099215241973988,6750,0.17330596203991167,6750,0.11490416603708868,6750
V2_BAG_MIX5,widest,8,0.3004919517852126,395,0.26027132421185006,395,0.2972040489456592,395,0.3253430196666903,395
V2_BAG_MIX5,widest,9,0.659488146893834,1205,0.3672357197455331,1205,0.5448609535268426,1205,0.3410376232789681,1205
V2_BAG_MIX5,widest,10,0.39162479376179254,1820,0.2328704611838737,1820,0.3024503624975909,1820,0.21383852511455015,1820
V2_BAG_MIX5,widest,11,0.6692083622601989,175,0.2375526700551308,175,0.3923240892281709,175,0.18946841376371543,175
V2_BAG_MIX5,widest,12,0.5498597059018202,1975,0.2779654841745086,1975,0.378763246419849,1975,0.2980924388447788,1975
V2_BAG_MIX5,widest,13,0.4945547720484411,51070,0.25080688031384063,51070,0.3611160462469365,51070,0.25033513804344265,51070
