arm,seed,policy,form,lam,k,n_ext,n_rows,n_rows_free,n_draws,macro_mae,macro_mae_draw_sd,macro_mae_free,pooled_mae,pooled_r2,macro_r2_median,dispersion_ratio,sign_acc,reject_frac
A2_refit_TP,262147,adjacent,scale,3.0,1,32,6362.0,5977.2,20,0.3363180224295347,0.002711785966405542,0.3888927418197667,0.4371846366892417,0.3098227302598182,0.39555349253058725,0.729104367531064,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,3.0,2,32,6362.0,5977.2,20,0.33486330752093346,0.003037878888088846,0.3860301888893928,0.43574822062977125,0.3141239345055397,0.39747170330790443,0.7280451335798119,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,3.0,3,32,6362.0,5977.2,20,0.33209256192994147,0.003842153032203852,0.38218937809122283,0.4337292715235946,0.319771925622581,0.3996664397448848,0.728011436064355,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,3.0,5,32,6362.0,5977.2,20,0.32595867945004847,0.004750003410688708,0.3759990532895682,0.4305777219415865,0.3278618239196586,0.40670582178068326,0.7268655698225602,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,3.0,10,32,6362.0,5977.2,20,0.31544595414246124,0.004972280948202222,0.3622163553314385,0.42341268893428097,0.3463957413418502,0.43867280347470106,0.7221575581387113,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,10.0,1,32,6362.0,5977.2,20,0.33799189812533087,0.002103844018750363,0.3913298547126661,0.4385331329525556,0.30606151593047093,0.3935200258284824,0.7294888642314408,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,10.0,2,32,6362.0,5977.2,20,0.3373426383645707,0.0023544396430020737,0.3903772770866,0.4380390048246766,0.3075750217316171,0.3942966657703907,0.7290550478131288,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,10.0,3,32,6362.0,5977.2,20,0.336433755614289,0.0025987840031030593,0.3890722804748463,0.43736642421571154,0.3095142135915574,0.39562557535694526,0.7289418246172675,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,10.0,5,32,6362.0,5977.2,20,0.3343600387237475,0.0027693468764671356,0.3868631872624808,0.43624767136883386,0.3125643259268587,0.3981083928945365,0.7283477935669547,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,10.0,10,32,6362.0,5977.2,20,0.3300158813123717,0.002912255675987833,0.3814309168712537,0.433426400343573,0.3203780429180041,0.41156786582638105,0.7261951608165464,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,trend,0.03,1,32,6362.0,5977.2,20,0.37950744659702135,0.04660329970287455,0.42322499485382503,0.44241872229124973,0.19964838243848942,0.2758860447987729,0.8578861703572411,0.8500785916378497,1.0
A2_refit_TP,262147,adjacent,trend,0.03,2,32,6362.0,5977.2,20,0.3851847484925953,0.049306644814276074,0.42070854483423653,0.4455752388746087,0.18351740313882478,0.2617475331355616,0.9120990487106578,0.8246620559572462,0.696875
A2_refit_TP,262147,adjacent,trend,0.03,3,32,6362.0,5977.2,20,0.34642069755885935,0.028021965385425892,0.38095885968120363,0.4205692588080162,0.26296683308686586,0.28732536593649494,0.9368521993266269,0.8306585979251807,0.5859375
A2_refit_TP,262147,adjacent,trend,0.03,5,32,6362.0,5977.2,20,0.2982331018196878,0.023725679565315603,0.34074190074241556,0.4081331588428025,0.28620692660817265,0.43379948688843706,0.9519291216840277,0.8504401131719584,0.45625
A2_refit_TP,262147,adjacent,trend,0.03,10,32,6362.0,5977.2,20,0.21907837232051888,0.010554028169736902,0.24789822998861788,0.36689626497069006,0.40945197695925756,0.6634991821642835,0.9047247088376297,0.8587708267840302,0.184375
A2_refit_TP,262147,adjacent,trend,0.1,1,32,6362.0,5977.2,20,0.3424080846993711,0.027431355936620896,0.38288586170830163,0.42855210804142735,0.31468051591663804,0.3580028618158631,0.7690243705148044,0.8542203709525307,1.0
A2_refit_TP,262147,adjacent,trend,0.1,2,32,6362.0,5977.2,20,0.3447476442344994,0.031115343237348016,0.373333056884802,0.4235439177970906,0.31802802454903284,0.3395381763642481,0.8030707954217021,0.848538195535995,0.696875
A2_refit_TP,262147,adjacent,trend,0.1,3,32,6362.0,5977.2,20,0.3239560890599154,0.020042649284318193,0.35328797112721116,0.4051426411352204,0.3624599877295848,0.39895035742501983,0.8315147886068177,0.8501729016032694,0.5859375
A2_refit_TP,262147,adjacent,trend,0.1,5,32,6362.0,5977.2,20,0.2880719094678662,0.019019634577624046,0.32512576495266654,0.39233013446383225,0.3880886318579225,0.4540269443847638,0.8570277749666257,0.8519333542911035,0.45625
