full_arm,k,failure_class,mae,n_ligands
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,1,ALREADY_GOOD,0.7061074337879827,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,1,PARTIAL_LEVEL,0.7809801966175078,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,1,PURE_LEVEL,0.4621562808793347,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,1,RESIDUAL_SHAPE,1.414997586094672,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,2,ALREADY_GOOD,0.6805209552331684,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,2,PARTIAL_LEVEL,0.9096008077922455,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,2,PURE_LEVEL,0.447300505498409,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,2,RESIDUAL_SHAPE,1.4220814608823207,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,3,ALREADY_GOOD,0.6505944788476151,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,3,PARTIAL_LEVEL,1.000300305662511,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,3,PURE_LEVEL,0.43870111050356114,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,3,RESIDUAL_SHAPE,1.3498787372627556,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,5,ALREADY_GOOD,0.6315212498877826,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,5,PARTIAL_LEVEL,0.9690366834926782,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,5,PURE_LEVEL,0.42706126177335973,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,5,RESIDUAL_SHAPE,1.2957788675869153,23
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,1,ALREADY_GOOD,1.0057743877964385,51
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,1,PARTIAL_LEVEL,1.6120025865458296,5
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,1,PURE_LEVEL,0.6814575413957342,20
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,1,RESIDUAL_SHAPE,1.9918923782471771,23
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,2,ALREADY_GOOD,0.6951455328713683,51
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,2,PARTIAL_LEVEL,1.1774157874273725,5
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,2,PURE_LEVEL,0.5414710581880586,20
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,2,RESIDUAL_SHAPE,1.4435403891643523,23
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,3,ALREADY_GOOD,0.6905691271014592,51
