model,split_seed,extractant,n_rows,mae,offset_abs,bias,shape_mae,y_sd,rank_spearman,nn_train_tanimoto,nn_base_tanimoto,n_metals,n_conditions,n_series,ecfp_cluster,tanimoto_cluster,y_mean,prediction_mean,n_batches,n_publications,frac_name_mismatch,frac_aqueous_complexant,donor__n_total,DENTATE,coreCN,mechanism,mean_mae_over_seeds,is_worst
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,15,2.142469063734256,1.9987827298393213,-1.9987827298393213,1.3033195595689067,1.295248415326856,-0.46827543274208594,0.46153846153846156,0.4528301886792453,1,15,2,9db9de2b3a1d3dfe,tan055,1.155744441271032,-0.8430382885682892,4,2,0.0,0.0,3.0,3.0,9.0,UNCLASSIFIED,2.375324014101209,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,15,2.8049324269863383,2.8049324269863383,-2.8049324269863383,1.2519331850416178,1.295248415326856,-0.45397694624614443,0.4528301886792453,0.4528301886792453,1,15,2,9db9de2b3a1d3dfe,tan055,1.155744441271032,-1.6491879857153064,4,2,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.375324014101209,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,15,2.1613258748457542,1.8455884148216954,-1.8455884148216954,1.4231078072640593,1.295248415326856,-0.47185005436607136,0.46153846153846156,0.4528301886792453,1,15,2,9db9de2b3a1d3dfe,tan055,1.155744441271032,-0.6898439735506631,4,2,0.0,0.0,3.0,3.0,9.0,UNCLASSIFIED,2.375324014101209,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,15,2.3264028842413738,2.3264028842413738,-2.3264028842413738,1.083712872926566,1.295248415326856,-0.175,0.46153846153846156,0.43636363636363634,1,15,2,9db9de2b3a1d3dfe,tan055,1.155744441271032,-1.1706584429703413,4,2,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.375324014101209,True
TREE_MC_lig2d_ext_massaction,104729,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,2.0798391922145134,2.0798391922145134,2.0798391922145134,1.0445510672218326,1.230794280562399,0.8285714285714287,0.6666666666666666,0.3548387096774194,1,6,1,bbab480f57db029c,tan030,-2.5258362206535225,-0.4459970284390093,6,1,0.0,0.0,7.0,7.0,9.0,UNCLASSIFIED,2.3311052141001065,True
TREE_MC_lig2d_ext_massaction,130363,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,3.288626833290671,3.288626833290671,3.288626833290671,1.0403303210811548,1.230794280562399,0.7714285714285715,0.6666666666666666,0.3548387096774194,1,6,1,bbab480f57db029c,tan030,-2.5258362206535225,0.7627906126371481,6,1,0.0,0.0,7.0,7.0,9.0,LEVEL_ONLY,2.3311052141001065,True
TREE_MC_lig2d_ext_massaction,155921,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,1.6296571865933505,1.5705145767081141,1.5705145767081141,1.1053970296047342,1.230794280562399,0.8285714285714287,0.6666666666666666,0.3548387096774194,1,6,1,bbab480f57db029c,tan030,-2.5258362206535225,-0.9553216439454085,6,1,0.0,0.0,7.0,7.0,9.0,UNCLASSIFIED,2.3311052141001065,True
TREE_MC_lig2d_ext_massaction,196613,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,3.003244619762754,3.003244619762754,3.003244619762754,1.1191372327309885,1.230794280562399,0.08571428571428573,0.6666666666666666,0.3548387096774194,1,6,1,bbab480f57db029c,tan030,-2.5258362206535225,0.4774083991092312,6,1,0.0,0.0,7.0,7.0,9.0,LEVEL_ONLY,2.3311052141001065,True
TREE_MC_lig2d_ext_massaction,262147,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,1.6541582386392448,1.5499263543814938,1.5499263543814938,1.1767819414113945,1.230794280562399,-0.7142857142857143,0.6666666666666666,0.3548387096774194,1,6,1,bbab480f57db029c,tan030,-2.5258362206535225,-0.975909866272029,6,1,0.0,0.0,7.0,7.0,9.0,UNCLASSIFIED,2.3311052141001065,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,3,2.5374314248389527,2.5374314248389527,2.5374314248389527,0.3242898085761999,0.375450368972221,1.0,0.4,0.3584905660377358,1,3,1,d2144940ea63797e,tan041,-3.598626672448025,-1.0611952476090727,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.2927577847825775,True
