pair_label,split_seed,arm,r2
La-Yb,104729,PRIOR_lig2d,-0.1362789907740547
La-Lu,104729,PRIOR_lig2d,0.04563080824824517
Ce-Tm,104729,PRIOR_lig2d,-0.5659756203930502
Ce-Yb,104729,PRIOR_lig2d,-0.47615288483392715
Ce-Lu,104729,PRIOR_lig2d,-0.39541489087974924
Pr-Tm,104729,PRIOR_lig2d,-0.06627816422747212
Pr-Yb,104729,PRIOR_lig2d,0.023502959761693698
Pr-Lu,104729,PRIOR_lig2d,0.18578951088907403
Eu-Tm,104729,PRIOR_lig2d,-0.6349190316671094
Eu-Yb,104729,PRIOR_lig2d,-0.40593681272692694
Eu-Lu,104729,PRIOR_lig2d,-0.14810367961370252
Tb-Tm,104729,PRIOR_lig2d,-0.0498302399090218
Tb-Yb,104729,PRIOR_lig2d,-0.027730705061802974
Tb-Lu,104729,PRIOR_lig2d,0.04889387794577804
Tm-Yb,104729,PRIOR_lig2d,0.0049401827142241395
Tm-Lu,104729,PRIOR_lig2d,0.09181584114335606
Yb-Lu,104729,PRIOR_lig2d,-0.08265506537461942
Ho-Yb,104729,PRIOR_lig2d,0.14510250609733766
Er-Tm,104729,PRIOR_lig2d,0.047788499115413496
Er-Yb,104729,PRIOR_lig2d,0.01553625237606282
La-Nd,104729,PRIOR_lig2d,0.2479235323823583
La-Sm,104729,PRIOR_lig2d,0.2613099300709132
Gd-Tm,104729,PRIOR_lig2d,-0.5177667640618238
Gd-Yb,104729,PRIOR_lig2d,-0.3737405146591608
Gd-Lu,104729,PRIOR_lig2d,-0.21846627849969047
Tb-Ho,104729,PRIOR_lig2d,-0.07524183496340942
Tb-Er,104729,PRIOR_lig2d,-0.07876895381434013
Dy-Tm,104729,PRIOR_lig2d,0.01206861297962536
Dy-Yb,104729,PRIOR_lig2d,0.04767878692437977
Dy-Lu,104729,PRIOR_lig2d,0.06581248584609234
Ho-Lu,104729,PRIOR_lig2d,0.22311647621680253
Er-Lu,104729,PRIOR_lig2d,0.1272495972829074
La-Gd,104729,PRIOR_lig2d,0.11947968595178138
La-Dy,104729,PRIOR_lig2d,0.047260210305213546
La-Ho,104729,PRIOR_lig2d,-0.33792200572243236
La-Er,104729,PRIOR_lig2d,-0.15720665337279627
Ce-Ho,104729,PRIOR_lig2d,-0.485185164865386
Ce-Er,104729,PRIOR_lig2d,-0.6666299842677104
Pr-Ho,104729,PRIOR_lig2d,-0.0866289754841858
Pr-Er,104729,PRIOR_lig2d,-0.005093883372927488
Nd-Tm,104729,PRIOR_lig2d,-1.288791562878321
Nd-Yb,104729,PRIOR_lig2d,-1.0960869890811673
Nd-Lu,104729,PRIOR_lig2d,-0.4864015801510655
Sm-Tm,104729,PRIOR_lig2d,-1.2267095253498743
Sm-Yb,104729,PRIOR_lig2d,-0.8834204874829255
Sm-Lu,104729,PRIOR_lig2d,-0.4820080575978716
Eu-Ho,104729,PRIOR_lig2d,-0.6003738891874162
Eu-Er,104729,PRIOR_lig2d,-0.46411674713748363
Ho-Tm,104729,SCALE_s50,0.10597937573588445
Ce-Pr,104729,SCALE_s50,-0.033306447075150514
Ce-Nd,104729,SCALE_s50,-0.1436605645236808
Ce-Sm,104729,SCALE_s50,-0.23207979426903758
Ce-Eu,104729,SCALE_s50,-0.3997944658103392
Ce-Gd,104729,SCALE_s50,-0.749749457955631
Ce-Tb,104729,SCALE_s50,-1.2129524558533884
Ce-Dy,104729,SCALE_s50,-1.0182444569137044
Pr-Nd,104729,SCALE_s50,0.06444792244497366
Pr-Sm,104729,SCALE_s50,0.19214954287947383
Pr-Eu,104729,SCALE_s50,0.04116335612938282
Pr-Gd,104729,SCALE_s50,0.05302870198009735
Pr-Tb,104729,SCALE_s50,-0.24279955657500407
Pr-Dy,104729,SCALE_s50,0.10842517366156823
Nd-Sm,104729,SCALE_s50,-0.4449823315794208
Nd-Eu,104729,SCALE_s50,-0.5505521985056827
Nd-Gd,104729,SCALE_s50,-1.209156150974653
Nd-Tb,104729,SCALE_s50,-1.618679434694788
Nd-Dy,104729,SCALE_s50,-1.5019142796253648
Sm-Eu,104729,SCALE_s50,-0.6436034297071094
Sm-Gd,104729,SCALE_s50,-0.9003668582816933
Sm-Tb,104729,SCALE_s50,-1.478192160335936
Sm-Dy,104729,SCALE_s50,-1.5306543588747208
Eu-Gd,104729,SCALE_s50,-0.37788189643220527
Eu-Tb,104729,SCALE_s50,-1.7243289917664137
Eu-Dy,104729,SCALE_s50,-1.120563125050003
Gd-Tb,104729,SCALE_s50,-0.5595862074769371
Gd-Dy,104729,SCALE_s50,-0.9258427518587913
Tb-Dy,104729,SCALE_s50,-0.277116148453072
Nd-Ho,104729,SCALE_s50,-1.7897440564926983
Nd-Er,104729,SCALE_s50,-1.8753274261434827
Sm-Ho,104729,SCALE_s50,-1.4391560346618668
Sm-Er,104729,SCALE_s50,-1.672183206469644
Gd-Ho,104729,SCALE_s50,-0.7658812545234865
Gd-Er,104729,SCALE_s50,-0.8557747223319061
Dy-Ho,104729,SCALE_s50,-0.025803334065310102
Dy-Er,104729,SCALE_s50,-0.1074400714246837
Ho-Er,104729,SCALE_s50,-0.051578509594587096
La-Ce,104729,SCALE_s50,0.10459378031174282
La-Pr,104729,SCALE_s50,-0.1613233587486158
La-Eu,104729,SCALE_s50,-0.26109053319665443
La-Tb,104729,SCALE_s50,-0.6569990497131841
La-Tm,104729,SCALE_s50,-0.8644221348930663
La-Yb,104729,SCALE_s50,-0.6389885721263346
La-Lu,104729,SCALE_s50,-0.47053099097723794
Ce-Tm,104729,SCALE_s50,-1.6844663943927691
Ce-Yb,104729,SCALE_s50,-1.4640534994258556
Ce-Lu,104729,SCALE_s50,-1.3179925197785898
Pr-Tm,104729,SCALE_s50,-0.4657185849535037
Pr-Yb,104729,SCALE_s50,-0.3225945565367909
Pr-Lu,104729,SCALE_s50,-0.15376798660896474
Eu-Tm,104729,SCALE_s50,-1.476830026546077
Eu-Yb,104729,SCALE_s50,-0.8492399396367043
Eu-Lu,104729,SCALE_s50,-0.5291117987032619
Tb-Tm,104729,SCALE_s50,-0.25075015385746857
Tb-Yb,104729,SCALE_s50,-0.05924418234229778
Tb-Lu,104729,SCALE_s50,0.08451177790100772
Tm-Yb,104729,SCALE_s50,-0.01593483206971502
Tm-Lu,104729,SCALE_s50,0.06516997704269045
Yb-Lu,104729,SCALE_s50,-0.14775156605914308
Ho-Yb,104729,SCALE_s50,0.15409958112204836
Er-Tm,104729,SCALE_s50,-0.06868703192373093
Er-Yb,104729,SCALE_s50,0.03417681691630925
La-Nd,104729,SCALE_s50,0.019935625610239316
La-Sm,104729,SCALE_s50,-0.05598728344481119
Gd-Tm,104729,SCALE_s50,-1.0034641775714608
Gd-Yb,104729,SCALE_s50,-0.36625270452546155
Gd-Lu,104729,SCALE_s50,-0.34027248904903207
Tb-Ho,104729,SCALE_s50,-0.16849047824548458
Tb-Er,104729,SCALE_s50,-0.21490550364360383
Dy-Tm,104729,SCALE_s50,-0.17647788282870325
Dy-Yb,104729,SCALE_s50,0.04530458337956367
Dy-Lu,104729,SCALE_s50,0.15303472674622798
Ho-Lu,104729,SCALE_s50,0.2814350463349481
Er-Lu,104729,SCALE_s50,0.13025790834734274
La-Gd,104729,SCALE_s50,-0.4034863228888721
La-Dy,104729,SCALE_s50,-0.44534744969961904
La-Ho,104729,SCALE_s50,-0.763268582423978
La-Er,104729,SCALE_s50,-0.7668589128450278
Ce-Ho,104729,SCALE_s50,-1.1652101354451454
Ce-Er,104729,SCALE_s50,-1.560213019339216
Pr-Ho,104729,SCALE_s50,-0.35698053765713045
Pr-Er,104729,SCALE_s50,-0.27186831068344275
Nd-Tm,104729,SCALE_s50,-2.855090990704062
Nd-Yb,104729,SCALE_s50,-1.8017173245722273
Nd-Lu,104729,SCALE_s50,-1.4484154107594063
Sm-Tm,104729,SCALE_s50,-2.3309085150503908
Sm-Yb,104729,SCALE_s50,-1.4041387068974909
Sm-Lu,104729,SCALE_s50,-1.1667875953512752
Eu-Ho,104729,SCALE_s50,-1.181940759494501
Eu-Er,104729,SCALE_s50,-1.31683034906925
Ho-Tm,104729,A2_refit_TP,0.18593331896579857
Ce-Pr,104729,A2_refit_TP,0.10709574029342084
Ce-Nd,104729,A2_refit_TP,0.2052110086295047
Ce-Sm,104729,A2_refit_TP,0.10168372828244565
Ce-Eu,104729,A2_refit_TP,-0.03370407437430867
Ce-Gd,104729,A2_refit_TP,-0.30104304068798715
Ce-Tb,104729,A2_refit_TP,-0.5452434002981448
Ce-Dy,104729,A2_refit_TP,-0.4707312633515701
Pr-Nd,104729,A2_refit_TP,0.039919210643343916
Pr-Sm,104729,A2_refit_TP,0.19926749458498194
Pr-Eu,104729,A2_refit_TP,0.10021619557660155
Pr-Gd,104729,A2_refit_TP,0.0610258248981419
Pr-Tb,104729,A2_refit_TP,-0.07020753832590376
Pr-Dy,104729,A2_refit_TP,0.12627939409524036
Nd-Sm,104729,A2_refit_TP,-0.12952700888940605
Nd-Eu,104729,A2_refit_TP,-0.2793123527696426
Nd-Gd,104729,A2_refit_TP,-0.6501450703317837
Nd-Tb,104729,A2_refit_TP,-1.1532282396516522
Nd-Dy,104729,A2_refit_TP,-0.7889291780160546
Sm-Eu,104729,A2_refit_TP,-0.4303915859577456
Sm-Gd,104729,A2_refit_TP,-0.6303443293000259
Sm-Tb,104729,A2_refit_TP,-1.1468875412285842
Sm-Dy,104729,A2_refit_TP,-0.9431771721194684
Eu-Gd,104729,A2_refit_TP,-0.41441504543539587
Eu-Tb,104729,A2_refit_TP,-1.1227349797644175
Eu-Dy,104729,A2_refit_TP,-0.7588493254958357
Gd-Tb,104729,A2_refit_TP,-0.4204001285660395
Gd-Dy,104729,A2_refit_TP,-0.5569175098943433
Tb-Dy,104729,A2_refit_TP,-0.2164749434091433
Nd-Ho,104729,A2_refit_TP,-0.8566004106860368
Nd-Er,104729,A2_refit_TP,-0.9399850546434954
Sm-Ho,104729,A2_refit_TP,-0.8376932633888514
Sm-Er,104729,A2_refit_TP,-0.9175457703180643
Gd-Ho,104729,A2_refit_TP,-0.41564772898743585
Gd-Er,104729,A2_refit_TP,-0.4181093988687965
