arm,axis_label,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
REL_MONOLITH,acid,DENSITY,2035,65,0.0076206236549309,0.053594490878557,0.1320670996546553,0.6489060687039383,0.0140539042652054,0.178947014080554,0.3429271230345543,0.8106888642149894,0.0148470114901832,0.20680421851756,0.3808583374486877,0.8277693761320821,0.0157080227468917,0.2337650576632937,0.4258876500086324,0.8871159529445203,0.0041447883758141,0.0609660131632327,0.1370799326503763,0.4318713727975425,0.0090473796200168,0.1889299098361827,0.3305779515576737,0.8833264033446464,0.0067256502267902,0.0671870378999303,0.1269421697493714,0.5325701686646042
REL_MONOLITH,acid,EXTEND,4140,65,0.0551341703791293,0.1862586893183933,0.2467377996828574,0.6791326309858676,0.1201378458463523,0.3350063511435087,0.4493180376831931,1.0474862797420084,0.1318659584050352,0.3687680318210347,0.4811765463201909,1.088601648880744,0.1435731272837763,0.4021639315085602,0.519507843712989,1.129717018019479,0.0358385245355359,0.1294558089641947,0.1853456017607591,0.5458548992736065,0.0901539322434791,0.2657574269518936,0.3415914014074442,0.8505674928046205,0.0581787573250347,0.1774775711581928,0.2242005374874172,0.5637164988294612
REL_MONOLITH,acid,NESTED,3450,65,0.0269825832433958,0.1280925616671978,0.1797495811172741,0.6387741747160238,0.0709276823920701,0.254903728192756,0.3294310222051496,0.846480661354531,0.0768542987093053,0.278382155716959,0.3515541290946981,0.8715721444611828,0.0824903705956907,0.3022056744144537,0.379362042068832,0.8966636275678346,0.0250292772200042,0.0924677387691977,0.1277950392440186,0.250400293471701,0.0527652305633885,0.1852661219439507,0.2451538724126341,0.5997520710196659,0.0298578496777976,0.133118658240512,0.1820840294552536,0.6527542962639663
REL_MONOLITH,acid,PERMUTE,690,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,acid,SPARSE,2274,65,0.0087209232752407,0.236441770306667,0.32918696673671,0.8839022237084811,0.0152181774649755,0.3674407224807215,0.5150517320627648,1.4478883149453468,0.0159409038483139,0.3871201913724102,0.5354400933317421,1.5183865763499549,0.0165116994645522,0.4057293390922067,0.5584720811409244,1.588884837754563,0.0050186950766599,0.2259912539404813,0.3144920328724566,0.883902223708481,0.0083941174619318,0.2574790997669419,0.3359867602863531,1.085317606357426,0.0070786122998085,0.1587777530564989,0.2462169085274217,0.8052270523302552
REL_MONOLITH,extractant,CONTEXT,210,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,extractant,DECOY,420,17,0.0807082355090582,0.1910603917568534,0.2176151144323054,0.3873726889724924,0.1993720303948254,0.3535110482876075,0.427490826143521,0.7983523514408456,0.2285462132459485,0.4066834986781789,0.4796894924684298,0.8275505492394989,0.2569689887138099,0.4475081396403053,0.5489629565992077,0.875509816422891,0.0728749362231779,0.1345970135620679,0.155301521309282,0.2213176201608131,0.196186509246545,0.349101484618163,0.383945370885108,0.5067457471097025,0.0703736898129085,0.1841850477321349,0.237675307999465,0.5074622580589182
REL_MONOLITH,extractant,DENSITY,630,17,0.0081443907928991,0.0350384551019809,0.0637863245938489,0.1909855418106798,0.0150891890074792,0.1547118893228591,0.220727146464584,0.6037788423036885,0.0158321327535307,0.1903098118211474,0.3066100515335978,0.7146131834401723,0.0168026926480679,0.2305044232142138,0.3618111141070082,0.8357897012818551,0.0040394857889121,0.0528259113628234,0.0718190086357708,0.1975441759541049,0.0089696508717428,0.1956601217978621,0.2883608099274999,0.7189584158003052,0.0085577094383721,0.0510111896200553,0.078786055598387,0.1901735508969542
REL_MONOLITH,extractant,EXTEND,1260,17,0.0733831592187168,0.207572291488301,0.2617636883212418,0.5012452814533321,0.1675268500100577,0.3753446376415421,0.448830055777562,0.6236188303330892,0.1831236058483427,0.4101241692224955,0.4826269123727186,0.7130928956671848,0.1979792641724398,0.4486964174260208,0.5382107264205787,0.8517787198533182,0.0515859328035748,0.1216972253033936,0.1451271054781547,0.2287422947726559,0.11550546572697,0.2803744024195332,0.3229444533297643,0.6729562947806741,0.0846600462394018,0.2067702966375877,0.2483613343279522,0.4312932970284023
REL_MONOLITH,extractant,NESTED,1050,17,0.0364917263870202,0.1579047054175495,0.2371485610045522,0.5138754301596353,0.1055963493201131,0.3043491554867749,0.3862237683779345,0.6667557804514112,0.116669136060441,0.3233418362171606,0.4264222506324506,0.6848082182977251,0.1277914133602255,0.3457397119776475,0.4512443551729453,0.7169387525242887,0.0375808325754422,0.1264281563044075,0.1607342779592031,0.3372559013928494,0.0724045421021677,0.2272872416700888,0.2962789540691092,0.7240013401830345,0.0444498855451242,0.1461630848034348,0.1925092775648269,0.4922807841141007
