design,arm,n_cells,sp_pred_vs_true_mag,sp_pred_vs_n_metals,sp_true_vs_n_metals,pred_mag_sd
BR,FLAT,1445,,,0.48789297040073404,0.0
BR,G14,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,GAM_DIR,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,GAM_DIR_K,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,GAM_MAG,1445,0.08053804358064387,-0.000381736190599286,0.48789297040073404,0.18526139679364464
BR,ISO_PICK,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,ISO_PRIOR,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,MAG_MED,1445,-0.06356906213769707,-0.03957650794231557,0.48789297040073404,0.05133027680240016
BR,SYM_DIR,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,TP_ALL,1445,-0.025440392408976685,-0.03840904180049184,0.48789297040073404,0.09081764288540282
BR,TP_CURV,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,TP_DIR209,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,TP_DIR39,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,TP_MAG,1445,-0.025440392408976685,-0.03840904180049184,0.48789297040073404,0.09081764288540282
BR,TP_MAG_MEAN,1445,-0.0012330122387482873,-0.11325038517918105,0.48789297040073404,0.06800950992104259
BR,TP_MAG_SHUF,1445,-0.004743589483292769,-0.09514542627277447,0.48789297040073404,0.08558842704790448
BR,XGB_FREE,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,XGB_MONO,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
