pair_label,split_seed,arm,r2
Gd-Tm,104729,A2_lig2d_SHUF,-0.3811387177058334
Gd-Yb,104729,A2_lig2d_SHUF,-0.10008333278382575
Gd-Lu,104729,A2_lig2d_SHUF,-0.13435854308191075
Tb-Ho,104729,A2_lig2d_SHUF,-0.20551629261888404
Tb-Er,104729,A2_lig2d_SHUF,-0.16788276576967487
Dy-Tm,104729,A2_lig2d_SHUF,-0.11159638482291445
Dy-Yb,104729,A2_lig2d_SHUF,0.0041632488939654655
Dy-Lu,104729,A2_lig2d_SHUF,0.0709257383991666
Ho-Lu,104729,A2_lig2d_SHUF,0.14261431891514287
Er-Lu,104729,A2_lig2d_SHUF,0.11309566793509596
La-Gd,104729,A2_lig2d_SHUF,0.014901736995886372
La-Dy,104729,A2_lig2d_SHUF,-0.08401713969424529
La-Ho,104729,A2_lig2d_SHUF,-0.533130903006044
La-Er,104729,A2_lig2d_SHUF,-0.2734839985409503
Ce-Ho,104729,A2_lig2d_SHUF,-0.8079877653886574
Ce-Er,104729,A2_lig2d_SHUF,-0.8715855276588385
Pr-Ho,104729,A2_lig2d_SHUF,-0.4873844238368603
Pr-Er,104729,A2_lig2d_SHUF,-0.3078826411917899
Nd-Tm,104729,A2_lig2d_SHUF,-1.210430222595769
Nd-Yb,104729,A2_lig2d_SHUF,-0.9697477885032837
Nd-Lu,104729,A2_lig2d_SHUF,-0.26453768624494955
Sm-Tm,104729,A2_lig2d_SHUF,-1.0710051310424276
Sm-Yb,104729,A2_lig2d_SHUF,-0.6947602930455021
Sm-Lu,104729,A2_lig2d_SHUF,-0.254936536240963
Eu-Ho,104729,A2_lig2d_SHUF,-0.569628358195218
Eu-Er,104729,A2_lig2d_SHUF,-0.4340302156973337
Ho-Tm,104729,SCALE_s50,0.0856295167307074
Ce-Pr,104729,SCALE_s50,-0.03351594056101881
Ce-Nd,104729,SCALE_s50,-0.22646923080020498
Ce-Sm,104729,SCALE_s50,-0.23627152837578347
Ce-Eu,104729,SCALE_s50,-0.39736139418918226
Ce-Gd,104729,SCALE_s50,-0.7882860612624352
Ce-Tb,104729,SCALE_s50,-1.2268695091434876
