,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__basis_shift,err__basis_shift,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,,,
B1_MEAN_CURVE,widest,5,0.3148873313997534,3130,0.1576025854527549,3130,,3130,0.2143729943559264,3130,0.1304210271382118,3130
B1_MEAN_CURVE,widest,6,0.45507812740686143,835,0.20175752132987382,835,,835,0.29332974053097266,835,0.1880723993621521,835
B1_MEAN_CURVE,widest,7,0.21272591978027422,6750,0.1247428559611119,6750,,6750,0.20181173807819996,6750,0.11490416603708868,6750
B1_MEAN_CURVE,widest,8,0.4213905293010439,395,0.32999220346934865,395,,395,0.4075643973225827,395,0.3253430196666903,395
B1_MEAN_CURVE,widest,9,0.7417026802005928,1205,0.3593430923423926,1205,,1205,0.5917126799819901,1205,0.3410376232789681,1205
B1_MEAN_CURVE,widest,10,0.6054514784994042,1820,0.2510054547168278,1820,,1820,0.40214595931637587,1820,0.21383852511455015,1820
B1_MEAN_CURVE,widest,11,0.8177110209491756,175,0.23619522928223907,175,,175,0.693972348689738,175,0.18946841376371543,175
B1_MEAN_CURVE,widest,12,0.7154105998515439,1975,0.28761525755094286,1975,,1975,0.5300711672973437,1975,0.2980924388447788,1975
B1_MEAN_CURVE,widest,13,0.6461684782090664,51070,0.2585010354209158,51070,,51070,0.4725192027235258,51070,0.25033513804344265,51070
C_DIRECT_ROW,random,1,0.5038322129493201,58812,0.4764121733973925,58812,,58812,0.4987663638239456,58812,0.6214434900289528,58812
C_DIRECT_ROW,random,2,0.5052072678563152,52764,0.43216439574990817,52764,,52764,0.49476336104342666,52764,0.4845374225547861,52764
C_DIRECT_ROW,random,3,0.5069177008761337,44317,0.39687995733969234,44317,,44317,0.4845407958637403,44317,0.4264531136630702,44317
C_DIRECT_ROW,random,4,0.5240280388137256,41479,0.3651196556211405,41479,,41479,0.48495281611126045,41479,0.3656110161435536,41479
C_DIRECT_ROW,random,5,0.4945557316403069,31975,0.3328228759737022,31975,,31975,0.4507786569436654,31975,0.33266783937651334,31975
C_DIRECT_ROW,random,6,0.5372619860112217,27183,0.31113942107291626,27183,,27183,0.4806250939847424,27183,0.3125022532069465,27183
C_DIRECT_ROW,random,7,0.58442773656128,22235,0.3080038277516732,22235,,22235,0.5093484331039744,22235,0.31660176315596794,22235
C_DIRECT_ROW,random,8,0.590929132478151,18153,0.2886152748569761,18153,,18153,0.5088136059765089,18153,0.28883839279923396,18153
C_DIRECT_ROW,random,9,0.5726174975941267,14245,0.2884043122569617,14245,,14245,0.4813256809691081,14245,0.2757506001622619,14245
C_DIRECT_ROW,random,10,0.5800868758830653,11420,0.2631954499923641,11420,,11420,0.44482234279010663,11420,0.26036489356101516,11420
C_DIRECT_ROW,random,11,0.5644615273532149,8657,0.2545561112578814,8657,,8657,0.43620826812573993,8657,0.2443531593852084,8657
C_DIRECT_ROW,random,12,0.6052803264963493,5608,0.28433783460535544,5608,,5608,0.4559050249714148,5608,0.2702631635203439,5608
C_DIRECT_ROW,random,13,0.5584506459644778,3877,0.22543923391675522,3877,,3877,0.42877820627356716,3877,0.23961969518778117,3877
C_DIRECT_ROW,widest,2,0.14015958223559644,60,0.10530617262412845,60,,60,0.14015958223559644,60,0.10675558685738455,60
C_DIRECT_ROW,widest,3,0.2781307274469264,300,0.22030069656127707,300,,300,0.2614145556797123,300,0.17616098660946453,300
C_DIRECT_ROW,widest,4,0.2696836546407596,430,0.18281477353001274,430,,430,0.26291032714546936,430,0.18187708816194018,430
C_DIRECT_ROW,widest,5,0.31425395217142293,3130,0.17314631398937513,3130,,3130,0.2268886963161425,3130,0.1304210271382118,3130
C_DIRECT_ROW,widest,6,0.36201695283980656,835,0.191565352503761,835,,835,0.2357272813983771,835,0.1880723993621521,835
C_DIRECT_ROW,widest,7,0.20475672634809675,6750,0.12590803883286877,6750,,6750,0.17897413943270404,6750,0.11490416603708868,6750
C_DIRECT_ROW,widest,8,0.3782153426947345,395,0.2960828151358936,395,,395,0.3634902839505489,395,0.3253430196666903,395
C_DIRECT_ROW,widest,9,0.6756471028714159,1205,0.3765627487897094,1205,,1205,0.5247294962093406,1205,0.3410376232789681,1205
C_DIRECT_ROW,widest,10,0.4987692194861174,1820,0.24348533506822462,1820,,1820,0.41130225501552875,1820,0.21383852511455015,1820
C_DIRECT_ROW,widest,11,0.7749223339212251,175,0.2988288640424025,175,,175,0.6083683371565295,175,0.18946841376371543,175
C_DIRECT_ROW,widest,12,0.59312805958075,1975,0.27729601522831776,1975,,1975,0.4157895936954843,1975,0.2980924388447788,1975
C_DIRECT_ROW,widest,13,0.5697313852313852,51070,0.2482077913672255,51070,,51070,0.4414274438236284,51070,0.25033513804344265,51070
M_PHYSICS_radius+radius_sq,random,1,0.48550211785056024,58812,0.4640818354438214,58812,0.4703477084193107,58812,0.4823105106812795,58812,0.6214434900289528,58812
M_PHYSICS_radius+radius_sq,random,2,0.47925063271362267,52764,0.42288965320617994,52764,0.4098297335334668,52764,0.4617249420475533,52764,0.4845374225547861,52764
