context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_4:2d_ensemble_weight,,,,0.1906626733179965,-0.16780501891814392,0.14527051406384608,True,0.0
outer_4:2d_ensemble_weight,,,,0.19083512974219158,-0.1716916905296515,0.14536023203320353,False,0.25
outer_4:2d_ensemble_weight,,,,0.19103184194822406,-0.17642082043585638,0.14550226318081932,False,0.5
outer_4:2d_ensemble_weight,,,,0.19131839314124321,-0.1819924086367588,0.14574234530253208,False,0.75
outer_4:2d_ensemble_weight,,,,0.19164302351202384,-0.1884064551323592,0.1460531377729796,False,1.0
outer_4:delta3d_weight,,,,0.1906626733179965,-0.16780501891814392,0.14527051406384608,False,0.0
outer_4:delta3d_weight,,,,0.18184700607090773,-0.061329553927184755,0.13755778378345968,False,0.25
outer_4:delta3d_weight,,,,0.174993277117191,0.015104245823253759,0.13119606803293427,False,0.5
outer_4:delta3d_weight,,,,0.1709057392470221,0.06149638033317206,0.12706350391116708,True,0.75
outer_4:delta3d_weight,,,,0.17140919590922865,0.07784684960256893,0.12633712624739538,False,1.0
full_data_deployment_model:baseline,0.0,0.35,2.0,0.1702135164235018,-0.1237131991888738,0.13367974674681923,True,
full_data_deployment_model:baseline,1.0,0.7,2.0,0.1816139157306115,-0.32637464191769583,0.1461472891409791,False,
full_data_deployment_model:baseline,2.0,1.0,4.0,0.18460658047490877,-0.6828805956789197,0.16220309918399503,False,
full_data_deployment_model:delta3d,0.0,0.35,2.0,0.16034241188136522,0.10256094463791798,0.12184167487598817,False,
full_data_deployment_model:delta3d,1.0,0.7,2.0,0.1584718775379835,0.1080589783485345,0.12147535941502041,True,
full_data_deployment_model:delta3d,2.0,1.0,4.0,0.16622723666296715,0.046371623017930186,0.12590794006708442,False,
full_data_deployment_model:delta3d_weight,,,,0.1710210423114902,-0.1176940329517433,0.13490780075198555,False,0.0
full_data_deployment_model:delta3d_weight,,,,0.16591950357552995,-0.032463152436040366,0.12969083792951797,False,0.25
full_data_deployment_model:delta3d_weight,,,,0.16189763054882278,0.030510009991460585,0.12570429487567347,False,0.5
full_data_deployment_model:delta3d_weight,,,,0.15975707021780594,0.07122545433075922,0.1231918363665946,False,0.75
full_data_deployment_model:delta3d_weight,,,,0.15965246601584088,0.08968318058185587,0.12256288667452858,True,1.0
