comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,-0.0005602298077448,-0.0005602298077448,-0.0005602298077448,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,-0.001345032980109,-0.001345032980109,-0.001345032980109,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,-0.002890615560473,-0.002890615560473,-0.002890615560473,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,all,MC_donors,1,1,-0.0034442379254382,-0.0034442379254382,-0.0034442379254382,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,nn<0.6,MC_donors,1,1,-0.0045914447020837,-0.0045914447020837,-0.0045914447020837,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,all,MC_donors,1,1,-0.005101362005526,-0.005101362005526,-0.005101362005526,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,nn<0.4,MC_lig2d_ext_massaction,1,1,-0.0051231386082199,-0.0051231386082199,-0.0051231386082199,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,nn<0.6,MC_donors,1,1,-0.0068666658549739,-0.0068666658549739,-0.0068666658549739,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,nn<0.6,MC_lig2d_ext_massaction,1,1,-0.0077918388070267,-0.0077918388070267,-0.0077918388070267,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,all,MC_lig2d_ext_massaction,1,1,-0.0081534018223756,-0.0081534018223756,-0.0081534018223756,0,0,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,all,MC_lig2d_ext_massaction,1,1,-0.0092930500473743,-0.0092930500473743,-0.0092930500473743,0,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,nn<0.4,MC_donors,1,1,-0.0108556996432542,-0.0108556996432542,-0.0108556996432542,0,0,1,True
