design,seed,fold,block,gamma,alpha,lopo_mae
BP,262147,0,TOPO39,1000.0,1000.0,0.3070406292033212
BP,262147,1,COND_MA,0.0,0.3,0.3039171164610133
BP,262147,1,COND_MA,0.1,1.0,0.3146193429010576
BP,262147,1,COND_MA,0.25,3.0,0.32200511671476445
BP,262147,1,COND_MA,0.5,1000.0,0.3244305254039599
BP,262147,1,COND_MA,1.0,1000.0,0.32447014309349453
BP,262147,1,COND_MA,2.0,1000.0,0.3245488119408905
BP,262147,1,COND_MA,5.0,1000.0,0.3247803751462662
BP,262147,1,COND_MA,20.0,1000.0,0.32584663185083146
BP,262147,1,COND_MA,100.0,1000.0,0.32991114108710873
BP,262147,1,COND_MA,1000.0,1000.0,0.38334367547031734
BP,262147,1,TOPO39,0.0,1000.0,0.32447830907298947
BP,262147,1,TOPO39,0.1,0.1,0.2784272958190253
BP,262147,1,TOPO39,0.25,0.3,0.26827870409194937
BP,262147,1,TOPO39,0.5,0.3,0.2678726244282925
BP,262147,1,TOPO39,1.0,1.0,0.2688339631069458
BP,262147,1,TOPO39,2.0,1.0,0.2639735089381633
BP,262147,1,TOPO39,5.0,3.0,0.26388320240038576
BP,262147,1,TOPO39,20.0,3.0,0.25863615074573343
BP,262147,1,TOPO39,100.0,3.0,0.2439655949210125
BP,262147,1,TOPO39,1000.0,10.0,0.2416941550187672
