adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
CNP_ligand,3,140,0.9991020947558358,0.6013289557882826,0.3977731389675533,0.32792941398401276,0.47082632700721533,0.11428571428571428,False,OFFSET_K1
ZERO_SHOT,3,140,0.9991663422152525,0.6013289557882826,0.3978373864269701,0.2975140815735947,0.5071772953598317,0.2642857142857143,False,OFFSET_K1
CNP_ligand_recovered,3,140,1.12591051780209,0.6013289557882826,0.5245815620138077,0.44458670487747953,0.6051276761126301,0.08571428571428572,False,OFFSET_K1
OFFSET_K3,5,99,0.5048182648956893,0.6206545029074033,-0.11583623801171405,-0.1421885306526269,-0.09340732355961505,0.8686868686868687,True,OFFSET_K1
OFFSET_K2,5,99,0.5572031369107958,0.6206545029074033,-0.06345136599660746,-0.0870237011501253,-0.04342682691354518,0.6666666666666666,True,OFFSET_K1
NEAREST_OBSERVED,5,99,0.5624629477678672,0.6206545029074033,-0.05819155513953612,-0.10490810321938324,-0.009974973187228692,0.6363636363636364,True,OFFSET_K1
OFFSET_K1,5,99,0.6206545029074033,0.6206545029074033,0.0,0.0,0.0,0.0,False,OFFSET_K1
CNPRES_conditions_only,5,99,0.6210001067855202,0.6206545029074033,0.0003456038781169488,-0.02167423238319041,0.023690080948394057,0.6060606060606061,False,OFFSET_K1
CNPRES_shrinkage,5,99,0.6218281368975902,0.6206545029074033,0.0011736339901868885,-0.001643221208903057,0.003971978733242393,0.5454545454545454,False,OFFSET_K1
CNPRES_absolute_x,5,99,0.6244365854660157,0.6206545029074033,0.003782082558612461,3.726467812464971e-05,0.009968631470836533,0.5454545454545454,False,OFFSET_K1
CNPRES_ligand_recovered,5,99,0.6264926757844869,0.6206545029074033,0.005838172877083696,-0.0005225889910751427,0.013537844238469028,0.43434343434343436,False,OFFSET_K1
CNPRES_ligand,5,99,0.6480031988326945,0.6206545029074033,0.027348695925291287,0.010516871995048959,0.0458549579995067,0.41414141414141414,False,OFFSET_K1
CNPRES_attentive,5,99,0.6565754401952341,0.6206545029074033,0.03592093728783062,0.014020244814577155,0.061248614875194375,0.48484848484848486,False,OFFSET_K1
NO_MODEL,5,99,0.7627854803784133,0.6206545029074033,0.1421309774710102,0.08835251117405069,0.1970633665688536,0.30303030303030304,False,OFFSET_K1
CNP_conditions_only,5,99,0.8542482565116224,0.6206545029074033,0.23359375360421902,0.17863955333648565,0.2909180595249022,0.15151515151515152,False,OFFSET_K1
CNP_ligand,5,99,1.0317932469789597,0.6206545029074033,0.4111387440715563,0.32892205258175017,0.49359240051833103,0.12121212121212122,False,OFFSET_K1
ZERO_SHOT,5,99,1.0562249321611463,0.6206545029074033,0.43557042925374284,0.3211181588316394,0.5642163789304468,0.25252525252525254,False,OFFSET_K1
CNP_ligand_recovered,5,99,1.184786255134386,0.6206545029074033,0.5641317522269826,0.4737343364230895,0.6634837040361417,0.08080808080808081,False,OFFSET_K1
CNPRES_shrinkage,1,143,0.697469975754493,0.7123587784068167,-0.014888802652323879,-0.020409263322697012,-0.009558965647026726,0.7832167832167832,True,OFFSET_K3
OFFSET_K1,1,143,0.7123587784068167,0.7123587784068167,-1.046899552285304e-18,-3.3875227150694887e-18,1.0381551711272613e-18,0.3776223776223776,False,OFFSET_K3
OFFSET_K3,1,143,0.7123587784068167,0.7123587784068167,0.0,0.0,0.0,0.0,False,OFFSET_K3
OFFSET_K2,1,143,0.7123587784068167,0.7123587784068167,2.3291392125003274e-19,-1.9458825899989723e-18,2.3665833602568426e-18,0.2937062937062937,False,OFFSET_K3
CNPRES_absolute_x,1,143,0.7157258829770564,0.7123587784068167,0.003367104570239652,-0.0008078921086349292,0.009044509730248545,0.4825174825174825,False,OFFSET_K3
CNPRES_ligand_recovered,1,143,0.7172491283724788,0.7123587784068167,0.004890349965662114,-0.0016911602032253046,0.012443261406397853,0.44755244755244755,False,OFFSET_K3
CNPRES_conditions_only,1,143,0.7242205817859357,0.7123587784068167,0.011861803379118943,-0.006750998480409485,0.034832789666715123,0.5104895104895105,False,OFFSET_K3
CNPRES_ligand,1,143,0.7396416689869594,0.7123587784068167,0.027282890580142733,0.014530044669030061,0.040956311473107035,0.3706293706293706,False,OFFSET_K3
CNPRES_attentive,1,143,0.7455195701071654,0.7123587784068167,0.0331607917003487,0.017128511982465434,0.05206311526595959,0.4405594405594406,False,OFFSET_K3
NEAREST_OBSERVED,1,143,0.8409960177308846,0.7123587784068167,0.12863723932406787,0.07587572106597112,0.18084434686108913,0.3356643356643357,False,OFFSET_K3
NO_MODEL,1,143,0.8409960177308846,0.7123587784068167,0.12863723932406787,0.07533988419363855,0.18242095951791365,0.3356643356643357,False,OFFSET_K3
CNP_conditions_only,1,143,0.8816681800026274,0.7123587784068167,0.16930940159581076,0.1160001100863983,0.22927711897762573,0.3356643356643357,False,OFFSET_K3
