extractant,tanimoto_cluster,level_raw,level_adjusted,adjusted_coverage,n_rows,log_d_max,log_d_min,level
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,tan075,-2.8494850021680094,-1.3838316417298264,1.0,4,-2.6989700043360187,-3.0,-2.8494850021680094
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,tan078,-2.1804560644581312,-1.418424168333333,1.0,35,-1.6777807050000009,-4.0,-2.1804560644581312
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,tan076,-2.9119543704721593,-1.3838316417298264,1.0,4,-2.6989700043360187,-3.0,-2.9119543704721593
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,tan079,-4.0,-2.3390359892988646,1.0,12,-0.913640169325251,-4.0,-4.0
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,tan034,-1.8996294548824302,-1.7829301113472902,1.0,3,-1.5331323796458904,-2.853871964321762,-1.8996294548824302
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,tan042,0.47712125499999997,-0.8239234227999589,0.4117647058823529,17,0.740362689,0.17609125900000008,0.47712125499999997
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],tan092,0.9771212545,1.703189001686304,0.9642857142857143,28,1.477121255,0.17609125900000008,0.9771212545
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,tan094,-3.0,-1.466648996976458,1.0,5,-2.6989700043360187,-3.3010299956639813,-3.0
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,tan053,0.462397998,1.5272000727209196,1.0,9,0.653212514,0.17609125900000008,0.462397998
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,tan057,1.2307199999999998,0.13373923148157796,1.0,14,1.77057,-1.26169,1.2307199999999998
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,tan055,1.2096649999999998,0.11978506750308338,1.0,14,1.85607,-1.2882700000000005,1.2096649999999998
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,0.505149978,1.590464014902738,1.0,9,0.77815125,-0.06550154899999999,0.505149978
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,tan055,0.7497363155690611,0.5586908824869924,0.9767441860465116,43,2.9301591498186865,-1.0,0.7497363155690611
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,tan054,2.507402422611034,1.0489693431581437,1.0,14,3.584579976985039,-0.026872146400301365,2.507402422611034
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,tan054,1.326150766394862,1.4975444662096575,1.0,8,3.5596707818930042,0.00860017176191757,1.326150766394862
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,tan054,0.5453040045239277,0.4149546713434392,1.0,8,3.3010299956639813,-1.3979400086720375,0.5453040045239277
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,tan078,-1.0,-0.7912064936767419,1.0,6,-0.5228787452803376,-1.0,-1.0
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,tan046,0.30954666500000005,-0.3761358883901142,1.0,6,0.903089987,-0.795880017,0.30954666500000005
CCCCCCOP(=O)(O)OCCCCCC,tan089,0.150514998,0.1252974071137694,1.0,10,1.954242509,-0.744727495,0.150514998
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,tan082,-0.323908741,-1.5444318768614327,1.0,14,0.0,-0.795880017,-0.323908741
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,tan093,-1.1259059865000003,0.6315826759166665,1.0,28,3.069668097,-2.0,-1.1259059865000003
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,tan055,0.2999429000227671,0.42792210178819007,1.0,3,2.6866362692622934,-0.8996294548824371,0.2999429000227671
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,tan016,-2.8929093456680897,-2.0870997254656816,0.8434782608695652,230,0.9047155452786809,-4.991399828238082,-2.8929093456680897
