path,group,bytes,bytes_lf,sha256,sha256_lf,recorded_sha256,recorded_bytes,recorded_source,recorded_bytes_match,manifest_match,raw_checksum_sha256,raw_checksum_match,has_recorded_digest,verified,is_headline_dataset_hash
dataset_all_metals/raw/Pm.csv,raw,1378,1376,d8c102e5965047e3f4e9c072899984d4edec49a30abc686b050b896a01fee822,c3d897260218b65a7690c7c2035b3a888bc670bf2f0fbbadf294732665d00309,d8c102e5965047e3f4e9c072899984d4edec49a30abc686b050b896a01fee822,1378,manifest.json:raw_inputs,binary,binary,d8c102e5965047e3f4e9c072899984d4edec49a30abc686b050b896a01fee822,binary,True,True,False
dataset_all_metals/raw/Pr.csv,raw,1122781,1121470,9beb9ad46d355e1f35b7bc2711642fe7078edb9b63527ab15555f41d9d79a415,968ecbda3e8113d4fc784dc55f638bd169eb400df4e6f99e23a679465a198e55,9beb9ad46d355e1f35b7bc2711642fe7078edb9b63527ab15555f41d9d79a415,1122781,manifest.json:raw_inputs,binary,binary,9beb9ad46d355e1f35b7bc2711642fe7078edb9b63527ab15555f41d9d79a415,binary,True,True,False
dataset_all_metals/raw/Pu.csv,raw,521785,520765,dd1b8cf5112c7c6cdea3c0b760aefa0dbef79f3481e6b20f8c39804243c8de19,d05edff849c31796e7f30777a8f7b349f978102acf1d3d786dea02f2a74b465d,dd1b8cf5112c7c6cdea3c0b760aefa0dbef79f3481e6b20f8c39804243c8de19,521785,manifest.json:raw_inputs,binary,binary,dd1b8cf5112c7c6cdea3c0b760aefa0dbef79f3481e6b20f8c39804243c8de19,binary,True,True,False
dataset_all_metals/raw/Ru.csv,raw,983,981,55230a890df01eb187b5be0db3cd537dae66cb2f4ade75136a5b8ee5ebcd5bbf,baed6c9d17c38f392530222306fee2e9a088c9e8fd17a0dab7ac4542d8563d54,55230a890df01eb187b5be0db3cd537dae66cb2f4ade75136a5b8ee5ebcd5bbf,983,manifest.json:raw_inputs,binary,binary,55230a890df01eb187b5be0db3cd537dae66cb2f4ade75136a5b8ee5ebcd5bbf,binary,True,True,False
dataset_all_metals/raw/Sc.csv,raw,3933,3922,f6bcad1637a6fbedf533fbddf4c4e8d00887ca604c7cc606b592d8ff2c84f42c,7e190434f5af26e427566e5cbfd4037790895921200a01d60e4adf256c33fd21,f6bcad1637a6fbedf533fbddf4c4e8d00887ca604c7cc606b592d8ff2c84f42c,3933,manifest.json:raw_inputs,binary,binary,f6bcad1637a6fbedf533fbddf4c4e8d00887ca604c7cc606b592d8ff2c84f42c,binary,True,True,False
dataset_all_metals/raw/Sm.csv,raw,334124,333651,878e66bad420370386fdcd3035fb6c828ebfc53fee19f6033060350ae998b231,171b556f5e29bb88bd8778230eaa51326120f7502bf6e919d98835e26154e286,878e66bad420370386fdcd3035fb6c828ebfc53fee19f6033060350ae998b231,334124,manifest.json:raw_inputs,binary,binary,878e66bad420370386fdcd3035fb6c828ebfc53fee19f6033060350ae998b231,binary,True,True,False
dataset_all_metals/raw/Sr.csv,raw,73786,73566,9edb3c38ecce8d081b21bbee8d56ff731625bc79ab0478f300a31f543d34594c,e6d73f5e56869fe5fbac58bf40792e01763da83daedb2eaf5572a0370f12cfca,9edb3c38ecce8d081b21bbee8d56ff731625bc79ab0478f300a31f543d34594c,73786,manifest.json:raw_inputs,binary,binary,9edb3c38ecce8d081b21bbee8d56ff731625bc79ab0478f300a31f543d34594c,binary,True,True,False
dataset_all_metals/raw/Tb.csv,raw,1899990,1896006,4a0a1ba4e8786302d5de46e8e47a3bd51b38c5dc54fbc7ccae2f1d24d0dbac23,680e56369ac2c88b87f144d79f3e1bc6e3757a3696838e8a42f4a87c8329060c,4a0a1ba4e8786302d5de46e8e47a3bd51b38c5dc54fbc7ccae2f1d24d0dbac23,1899990,manifest.json:raw_inputs,binary,binary,4a0a1ba4e8786302d5de46e8e47a3bd51b38c5dc54fbc7ccae2f1d24d0dbac23,binary,True,True,False
dataset_all_metals/raw/Tc.csv,raw,7238,7216,deab7570db1df345b2cb059fdf2966f901648ffe65ae0a31086636e681cd55b9,2e1a49e274bb4070094fa6316ad19663f95667a942ddadb2bcdb019bb6b6e143,deab7570db1df345b2cb059fdf2966f901648ffe65ae0a31086636e681cd55b9,7238,manifest.json:raw_inputs,binary,binary,deab7570db1df345b2cb059fdf2966f901648ffe65ae0a31086636e681cd55b9,binary,True,True,False
dataset_all_metals/raw/Th.csv,raw,2402881,2399569,8e3518c1bde0a7a003744d084b58e73e2291a6d357c9f1ed188ddbdfc14c5d12,2c26f6082dda2069110b28a804c4e4da7632faeac9794ec2f51a79e8ffceece9,8e3518c1bde0a7a003744d084b58e73e2291a6d357c9f1ed188ddbdfc14c5d12,2402881,manifest.json:raw_inputs,binary,binary,8e3518c1bde0a7a003744d084b58e73e2291a6d357c9f1ed188ddbdfc14c5d12,binary,True,True,False
dataset_all_metals/raw/Tm.csv,raw,179251,179028,0911f6d1e39708405176c49d82f795938300caced7e0a342e384c6e273d61f8a,69fce6dadee4cf8d5973f114b814db0cc69c301c413b065f5a1590eca1a9f30f,0911f6d1e39708405176c49d82f795938300caced7e0a342e384c6e273d61f8a,179251,manifest.json:raw_inputs,binary,binary,0911f6d1e39708405176c49d82f795938300caced7e0a342e384c6e273d61f8a,binary,True,True,False
dataset_all_metals/raw/U.csv,raw,3530928,3524397,7eb84547483058de017c4e6feaedefe730aa829e20fc0df34b92e39b879ce73d,d337d7d2cfce1637e561c7b677a320f2c371f0043e76fc62f30256cb07f0d9b9,7eb84547483058de017c4e6feaedefe730aa829e20fc0df34b92e39b879ce73d,3530928,manifest.json:raw_inputs,binary,binary,7eb84547483058de017c4e6feaedefe730aa829e20fc0df34b92e39b879ce73d,binary,True,True,False
dataset_all_metals/raw/UO2+2.csv,raw,5849,5832,1eb9adf1399cde7136e4ff1f2b325ba0ffb8d4ee8469dc291028adb4133983f4,00c3bebc0f5b6af05623cf127c2af081c5af81c770dd10c4713cd7b33fac5161,1eb9adf1399cde7136e4ff1f2b325ba0ffb8d4ee8469dc291028adb4133983f4,5849,manifest.json:raw_inputs,binary,binary,1eb9adf1399cde7136e4ff1f2b325ba0ffb8d4ee8469dc291028adb4133983f4,binary,True,True,False
dataset_all_metals/raw/Y.csv,raw,2337859,2334628,7e6d1f85e690a5db6718f887548e79a8db7cc63b0846a9ad65150463d7b47153,05ff579dd4b78bab2dbefd066b9ea8a2b61ae670e5015dbbc31ee4b1f0aa24c8,7e6d1f85e690a5db6718f887548e79a8db7cc63b0846a9ad65150463d7b47153,2337859,manifest.json:raw_inputs,binary,binary,7e6d1f85e690a5db6718f887548e79a8db7cc63b0846a9ad65150463d7b47153,binary,True,True,False
dataset_all_metals/raw/Yb.csv,raw,287522,287130,5591cd2fe053b385768e0cc0256e4d84034656198fbab487c4a66358ce849761,93dc743568130270d85e24f2301d4a69dc7184991e2a28e1183bd9f5f360c0fb,5591cd2fe053b385768e0cc0256e4d84034656198fbab487c4a66358ce849761,287522,manifest.json:raw_inputs,binary,binary,5591cd2fe053b385768e0cc0256e4d84034656198fbab487c4a66358ce849761,binary,True,True,False
