extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.637825,0.588506,0.0884178,-0.736812,-0.756094,-0.261403,0.739918,-0.0564872,0.691098,-0.757105,1.13859,-0.697246,0.993277,0.472592,0.604506,-0.00590657,14,s104729_S_b015,15
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.408017,0.500137,-0.187271,-0.683029,-0.500502,-0.239743,0.781921,0.0176182,0.840555,-1.00938,0.875327,-0.716708,0.802026,0.889437,0.492075,-0.400914,14,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)C(C)C,-0.752059,-0.348127,-1.4105,-1.0177,0.36034,0.339235,-0.922568,-0.357112,1.10367,-0.228953,0.144156,0.64927,-0.605003,-0.630881,-1.30395,1.30795,8,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,-0.98541,-0.757603,-1.10417,-0.333733,0.863905,0.501294,-1.59847,0.205612,0.344019,0.104357,-0.579216,0.682696,-1.19177,-1.53846,-1.69264,1.11671,48,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,-1.26064,0.365296,0.106474,0.116358,0.662831,-0.717519,1.10811,-1.11316,0.665183,0.442527,-0.696925,-0.965904,-0.152681,-0.673622,0.136515,-0.348484,9,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)CCC,-0.49709,-0.12501,-1.05973,-0.645634,0.624854,0.356033,-1.05826,-0.202726,0.495053,-0.152,-0.106877,0.657358,-0.36052,-0.566604,-1.09259,1.11837,8,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)CCCCC,-0.609205,-0.322775,-0.859788,0.0474318,1.25867,0.413866,-1.09129,0.162751,-0.200798,0.542253,-0.541222,1.0715,-0.518373,-0.47824,-1.34476,0.934156,143,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.332632,0.705149,1.37745,-0.123224,-0.516574,0.0235969,0.172431,-0.467656,-0.39488,0.548345,0.222786,-0.360682,0.831278,0.522832,0.833014,0.317774,6,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.284539,0.492618,0.334115,-0.348686,-0.182308,-0.00815985,0.59396,-0.200338,0.274549,-0.42031,-0.247586,-0.609453,0.966147,-0.0219233,0.240809,-0.0755813,134,s104729_S_b015,15
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCC)CCCCCC)C(C)C)C(C)C,-0.0497851,0.484969,0.956257,-0.124295,-0.661322,0.276275,0.599301,-0.467486,-0.0996485,0.695536,0.23766,-0.466989,0.561546,0.705803,0.831992,0.194009,6,s104729_S_b015,15
