regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_all2d_vs_A_ecfp,MC_all2d,A_ecfp,-0.11952074530808168,-0.2148569950662729,-0.05034432340771209,0.9992001599680064,26,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_lig2d_ext,MC_all2d,A_lig2d_ext,-0.10686103343352717,-0.18018541076997613,-0.0003749763117107577,0.9754049190161967,23,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_donors,MC_all2d,A_donors,-0.07071350524224615,-0.19880939420823285,0.03431370218461448,0.9158168366326734,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_complex_phys,MC_all2d,A_complex_phys,-0.11991908841051357,-0.22160257450973625,-0.032786946938225064,0.9934013197360528,22,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_polyhedron,MC_all2d,A_polyhedron,-0.1282702401963913,-0.24514713318224224,-0.02310702349562212,0.9896020795840832,24,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC,MC_all2d,MC,-0.07906673707547807,-0.1726328082443544,0.030012797697405592,0.9372125574885023,33,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_physchem,MC_all2d,MC_physchem,-0.022116831220536426,-0.0803614201604342,0.07531948962622897,0.6690661867626475,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_ecfp,MC_all2d,MC_ecfp,0.011299612906030926,-0.08017952057837727,0.07169675087459224,0.4311137772445511,35,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_lig2d_ext,MC_all2d,MC_lig2d_ext,0.030650360385192036,-0.001765592702529793,0.08103283744963803,0.033793241351729654,42,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_donors,MC_all2d,MC_donors,0.03769854656019114,-0.039334337678759344,0.11830283680256809,0.16116776644671066,39,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_complex_phys,MC_all2d,MC_complex_phys,-0.054219745924203776,-0.10685244206323437,0.031349077852103904,0.901619676064787,31,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_polyhedron,MC_all2d,MC_polyhedron,-0.045926965071329186,-0.1051643515015874,0.023038271360263693,0.9168166366726654,31,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_all3d,MC_all2d,MC_all3d,-0.04032419544877832,-0.09940775491486091,0.03156513934317186,0.8804239152169566,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_everything,MC_all2d,MC_everything,-0.003323399943357649,-0.036886042856994275,0.04568984009662113,0.5926814637072585,26,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC@hgb,MC_all2d,MC@hgb,-0.10130664848007295,-0.24796344927550207,0.03207225116292729,0.9330133973205359,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC@ridge,MC_all2d,MC@ridge,-0.21719670177512648,-0.2927189824085768,-0.09084981057806875,1.0,16,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_ecfp@hgb,MC_all2d,MC_ecfp@hgb,-0.0006645713809834277,-0.1233766814523078,0.07556182326182274,0.5450909818036392,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_ecfp@ridge,MC_all2d,MC_ecfp@ridge,-0.13586033070135567,-0.26993184290183997,-0.04944370490106172,0.9994001199760048,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_lig2d_ext@hgb,MC_all2d,MC_lig2d_ext@hgb,-0.04486476838727879,-0.11718313195678381,0.07302051615719288,0.7730453909218157,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_MC_lig2d_ext@ridge,MC_all2d,MC_lig2d_ext@ridge,-0.4387787683314732,-0.6072012939960159,-0.2265111194850895,1.0,19,74,ecfp_cluster,tanimoto_cluster,40,5000
