n_folds,checkpoint,endpoint,n_rows,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
15,30,hard_nn<0.6,15105,same_chemotype_first_vs_random,random,same_chemotype_first,shape_mae,-0.11476910902424489,-0.20785413331699124,-0.055490896179851874,1.0,53,127,76,5000,-0.16742365528018546,30,0.2204724409448819,0.037641046838348784,-0.1897539195098188,-0.039784298538671006,0.0031709625468343116,-0.20119429798637886,-0.05209451189234295,-0.010026681100274765,0.03666633213002225
15,1,vs_maxmin|all,15744,uncertainty_vs_maxmin,maxmin,uncertainty,mae,0.06912998613575035,-0.16083969667903839,0.28923212955277683,0.3623275344931014,63,131,79,5000,-0.09184025786080097,32,0.21374045801526717,0.13734391141232766,-0.2043007373186147,0.34256070959011536,0.6161473120737346,-0.1251536158739776,0.3864985475462304,0.11152505312308657,0.1518259377236372
15,1,vs_maxmin|all,15744,uncertainty_vs_maxmin,maxmin,uncertainty,offset_mae,0.05446762720449641,-0.24885922611223601,0.35562169086906176,0.39232153569286143,59,131,79,5000,-0.15664008664852783,25,0.21374045801526717,0.18613410036520392,-0.31609690091347087,0.42503215532246374,0.7705852620640355,-0.2076505874692308,0.4904857666499496,0.10043372051146988,0.15513043717917918
15,1,vs_maxmin|all,15744,uncertainty_vs_maxmin,maxmin,uncertainty,shape_mae,0.05374855320306771,0.006629735629227699,0.12030855194682706,0.010397920415916816,65,131,79,5000,0.065288667615381,45,0.21374045801526717,0.02875313072214102,-0.0034945328142661075,0.11099163922040153,0.06533277715380048,0.0005810285086344773,0.11230858610659028,-0.02908098644911949,-0.05953356591654334
15,1,vs_maxmin|all,15744,diversity_x_uncertainty_vs_maxmin,maxmin,diversity_x_uncertainty,mae,-0.20257601294244268,-0.3210343647338187,-0.11602860538471327,1.0,24,131,79,5000,-0.23510271085795703,18,0.21374045801526717,0.05432251462474992,-0.31072383195360626,-0.09442819393127909,0.0003624974850096062,-0.3018123442577369,-0.10263516151819382,0.0461383244820596,0.0739351901721506
15,1,vs_maxmin|all,15744,diversity_x_uncertainty_vs_maxmin,maxmin,diversity_x_uncertainty,offset_mae,-0.1780263294160636,-0.29725261617574816,-0.09286533394008709,1.0,31,131,79,5000,-0.20797098784818885,20,0.21374045801526717,0.052457595232255384,-0.28246137912110936,-0.07359127971101785,0.0010861817343059302,-0.28149180466015583,-0.08389428223528199,0.02908098644911963,0.05122830326063758
15,1,vs_maxmin|all,15744,diversity_x_uncertainty_vs_maxmin,maxmin,diversity_x_uncertainty,shape_mae,-0.10451006812399066,-0.15914893259523366,-0.06099040728671624,1.0,32,131,79,5000,-0.130765539200991,16,0.21374045801526717,0.027082118365925566,-0.15842642409000485,-0.05059371215797649,0.00023316318331107733,-0.1474570754879601,-0.049059970000034626,0.08331635009329552,0.1081441269913888
15,1,vs_maxmin|all,15744,offset_uncertainty_vs_maxmin,maxmin,offset_uncertainty,mae,0.032361688161632526,-0.1396494919506851,0.18977651769649323,0.40491901619676063,68,131,79,5000,-0.09394123730062438,30,0.21374045801526717,0.09754632929286913,-0.16183813558441595,0.22656151190768103,0.740962456160377,-0.10878031420595197,0.25612796884420436,0.11253401620461546,0.14851720693938006
15,1,vs_maxmin|all,15744,offset_uncertainty_vs_maxmin,maxmin,offset_uncertainty,offset_mae,0.018399232167620183,-0.20630173472121086,0.2300131627209969,0.46850629874025196,63,131,79,5000,-0.13701969809805548,24,0.21374045801526717,0.13027224095448844,-0.24095287688415346,0.2777513412193938,0.8880470240215557,-0.1702584204558714,0.31752078656698934,0.09791473421149949,0.15143368676942576
15,1,vs_maxmin|all,15744,offset_uncertainty_vs_maxmin,maxmin,offset_uncertainty,shape_mae,0.015533551406471424,-0.031203331809401855,0.08122117807124173,0.28434313137372524,54,131,79,5000,0.025973615449692213,39,0.21374045801526717,0.028818607460172414,-0.04183988878284755,0.0729069915957904,0.5914143308112265,-0.03725115024225392,0.07340825530935814,-0.029582527813948944,-0.062419098975867934
15,1,vs_maxmin|all,15744,same_chemotype_first_vs_maxmin,maxmin,same_chemotype_first,mae,-0.19318837369371938,-0.26384281912797214,-0.13665183525566266,1.0,27,131,79,5000,-0.1773440461669019,21,0.21374045801526717,0.03240791483301382,-0.2577075759453239,-0.1286691714421149,6.872480135994707e-08,-0.2670038454863491,-0.13910162344353635,-0.024567428181125117,-0.005861577040549134
15,1,vs_maxmin|all,15744,same_chemotype_first_vs_maxmin,maxmin,same_chemotype_first,offset_mae,-0.1404366546572703,-0.2017408374019725,-0.085410393798285,1.0,36,131,79,5000,-0.12302110351228639,25,0.21374045801526717,0.028072816001693982,-0.19632533810753267,-0.0845479712070079,3.4120174245910674e-06,-0.2070016021975935,-0.08898320791659863,-0.028077925538198285,-0.02400215782833077
15,1,vs_maxmin|all,15744,same_chemotype_first_vs_maxmin,maxmin,same_chemotype_first,shape_mae,-0.11851465936736953,-0.165034895603603,-0.08474727676479504,1.0,27,131,79,5000,-0.12692179161628947,16,0.21374045801526717,0.02037214023709463,-0.15907247504381009,-0.07795684369092898,1.2538807920217759e-07,-0.16285637784436388,-0.08360514842883744,0.005013277548926657,0.020528828416869874
15,1,vs_maxmin|hard_nn<0.4,13946,uncertainty_vs_maxmin,maxmin,uncertainty,mae,0.1492037307520206,-0.11325629952105089,0.368378759206605,0.22015596880623875,61,119,69,5000,-0.03227893925929828,28,0.23529411764705882,0.1384020052612325,-0.1269731707943586,0.4253806322983998,0.2848226632322668,-0.07303847487003916,0.4357398907702086,0.09640364162321052,0.13779428510778582
15,1,vs_maxmin|hard_nn<0.4,13946,uncertainty_vs_maxmin,maxmin,uncertainty,offset_mae,0.20469774812491426,-0.13605356650270434,0.483280109206533,0.20435912817436513,62,119,69,5000,-0.044528448849858834,27,0.23529411764705882,0.17852306929292344,-0.15153949019261154,0.56093498644244,0.25555828058844865,-0.07929872885004331,0.5636081342687592,0.09287860877725654,0.13872611104880583
15,1,vs_maxmin|hard_nn<0.4,13946,uncertainty_vs_maxmin,maxmin,uncertainty,shape_mae,0.0039322131724662986,-0.020974736098550183,0.044677965474796785,0.4097180563887223,45,119,69,5000,0.018893383354290565,30,0.23529411764705882,0.016327680542428117,-0.02864916607226058,0.03651359241719318,0.8104106763528125,-0.021898045511978447,0.043267002925852505,0.03309353280602721,-0.03477980711970994
