extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.097604,-0.054411,-0.136168,-0.20065,1.43915,0.708458,-0.0856458,0.666912,368,s104729_S_b004,4
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.57803,4.22766,-0.0935858,-0.257628,0.110901,-0.232692,-0.202178,1.98257,208,s104729_S_b004,4
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,0.861636,-0.193271,3.59298,-0.138115,0.426871,-2.99388,-0.85509,-2.70015,6,s104729_S_b004,4
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,0.657371,-0.447457,0.680732,1.7796,-0.09328,-0.888756,-0.976433,-0.890786,4,s104729_S_b004,4
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,-3.67185,-0.610197,3.34081,1.67498,-4.77706,1.11879,-2.43782,-4.35014,2,s104729_S_b004,4
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,-0.584813,-0.311902,0.339057,-0.214411,-1.64686,-0.611524,-1.38829,-0.176134,4,s104729_S_b004,4
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,-4.59131,-1.53013,0.730387,2.95676,-3.84574,-0.163052,-0.254571,-0.48204,8,s104729_S_b004,4
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,-0.0397254,-0.632249,0.802759,0.215055,-1.38456,-1.10076,-1.8534,-0.611785,12,s104729_S_b004,4
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,-5.25876,-0.736507,-0.55538,2.76657,-4.42952,0.469703,-0.371828,-0.200224,12,s104729_S_b004,4
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.661266,0.37337,-0.583316,-0.948781,0.643562,-1.25606,1.66767,-0.154632,2,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.446846,1.12855,0.359076,0.269994,1.03053,-0.493335,-0.66368,-0.58694,82,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.289052,0.660197,-1.09315,-0.530459,0.0235366,0.971293,0.159529,0.722243,216,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.0536805,-0.161479,-0.056795,-0.189906,0.942583,0.931938,0.107708,0.548014,184,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.51416,1.04539,1.43569,1.07422,0.489673,-1.11887,-0.425301,-1.19059,11,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.3259,0.0687545,0.639882,0.777363,0.645843,-0.787793,-0.353865,-0.58205,34,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.13954,-0.282439,0.200401,1.42063,0.201625,-1.03619,-0.616178,-1.08644,16,s104729_S_b004,4
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.41884,0.728486,1.19899,1.46116,0.229099,-1.36578,-0.693794,-1.35579,25,s104729_S_b004,4
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.158195,0.183262,0.511538,1.12992,-1.06035,0.965318,-0.11372,-0.389754,14,s104729_S_b004,4
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.324641,0.702004,1.714,-0.487444,-2.31922,1.0712,2.73442,1.52987,127,s104729_S_b004,4
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2.03935,1.78105,-0.309678,0.025438,-0.0581438,1.23929,0.866134,-0.387896,9,s104729_S_b004,4
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2.13301,2.33907,0.370918,0.735273,-0.342093,0.793234,0.651603,-1.14353,96,s104729_S_b004,4
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,2.63779,2.21545,0.102269,0.335419,-0.493299,1.31222,0.333455,-0.621564,9,s104729_S_b004,4
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.119064,-0.5792,-0.428907,-0.895228,0.765639,1.21402,0.390331,0.704484,437,s104729_S_b004,4
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,-0.790898,0.469594,-0.562142,-1.00434,1.35671,0.571248,0.866843,-0.0327918,2,s104729_S_b004,4
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.171475,-0.461166,-0.411151,-0.690678,0.735945,0.884918,0.403627,0.398186,14,s104729_S_b004,4
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,0.360882,0.303041,-0.62439,-1.32102,0.67201,-0.347653,0.872035,0.229859,2,s104729_S_b004,4
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.170905,-0.112953,0.840145,1.01092,-0.573331,0.550016,-2.71448,1.66771,4,s104729_S_b004,4
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.263095,0.0942257,-0.243035,-0.744889,0.443474,0.604602,0.338923,0.0604585,8,s104729_S_b004,4
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,-0.036316,0.164496,-0.178158,-0.132037,0.376781,0.0782109,0.372591,0.0210983,8,s104729_S_b004,4
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,-0.213781,-0.442859,-0.6926,-0.6141,0.781611,1.10387,0.38944,0.440392,14,s104729_S_b004,4
