extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCOCCO)CCOCCO)N(CCOCCO)CCOCCO,1.03717,-0.30154,0.664951,0.204289,8,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCOCCOCCO)CCOCCOCCO)N(CCOCCOCCO)CCOCCOCCO,1.37728,0.189855,1.27312,0.114923,10,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1cccc(P(=O)(O)O)n1,0.11296,-0.978327,-0.13845,-0.062037,2,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1ccccn1,0.689366,-0.148559,0.462766,0.389358,2,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,0.86273,1.0628,0.489277,0.744796,6,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,1.21788,0.835125,0.937915,0.0807276,16,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,1.21618,0.729225,1.10684,1.39186,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,1.34957,0.502733,0.514694,1.0935,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.748637,0.775889,0.103431,0.925064,22,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.841368,1.01529,0.0247369,1.08781,2,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.242887,0.635128,-0.669387,0.505831,2,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.737154,0.508191,0.517285,0.95163,47,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,1.14236,2.31257,0.337523,2.03745,71,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.358815,0.510137,0.00242782,0.791849,6,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,1.2891,2.67098,-0.416468,0.945128,70,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.337849,0.809463,-0.535335,0.485468,2,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,1.1019,3.07448,-0.14511,0.515041,71,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,0.707805,0.519469,0.920265,1.01944,18,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.513307,0.599521,0.271851,1.00243,75,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.837806,-0.247876,0.798359,-1.72305,70,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,0.690299,2.3284,-1.9431,0.691132,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,-0.0915671,1.45655,-2.47282,1.2347,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.491762,-0.247625,-0.449955,0.742247,16,s104729_S_b003,3
