global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,5,0.5908331208293457,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,1,0.6464225820417543,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,2,0.6062663161129833,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,3,0.5848989875113934,140
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,5,0.5879162625317953,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,2,0.6124522228140399,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,3,0.5896327035530936,140
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,5,0.5958982479925006,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,2,0.6401536087396221,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,3,0.6147607525672187,140
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,5,0.6053090263755947,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,2,0.6112068724630381,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,3,0.5890491856874567,140
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,5,0.5918902547792153,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],2,0.4841584250360125,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],3,0.5108056656698821,140
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],5,0.5416846550292178,99
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@RANDOM,2,0.6283368769184978,143
GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@RANDOM,3,0.597699996665605,140
