adapter,policy,k,mae,n_ligands,shape_mae
MASSACTION_SHAPEONLY,CENTRAL,2,0.9752671749149475,143,0.4601971458209179
CURVE_SPLINE_SHAPEONLY,CENTRAL,1,0.9760346998329543,143,0.4722400696418804
CURVE_SPLINE_SHAPEONLY,RANDOM,2,0.9760346998329543,143,0.4722400696418804
CURVE_SPLINE_SHAPEONLY,RANDOM,1,0.9760346998329543,143,0.4722400696418804
CURVE_SPLINE_SHAPEONLY,CENTRAL,2,0.9760346998329543,143,0.4722400696418804
ZERO_SHOT_REF,NONE,0,0.9827937505050829,143,0.47303312834535827
ZERO_SHOT,RANDOM,2,0.9827937505050829,143,0.47303312834535827
ZERO_SHOT,RANDOM,1,0.9827937505050829,143,0.47303312834535827
ZERO_SHOT,CENTRAL,2,0.9827937505050829,143,0.47303312834535827
ZERO_SHOT,CENTRAL,1,0.9827937505050829,143,0.47303312834535827
MASSACTION_SHAPEONLY,RANDOM,3,0.9829514026540415,140,0.46871062815767967
MASSACTION_SHAPEONLY,CENTRAL,3,0.9829514026540415,140,0.46871062815767967
CURVE_SPLINE_SHAPEONLY,RANDOM,3,0.9837353745345769,140,0.4810116146319485
CURVE_SPLINE_SHAPEONLY,CENTRAL,3,0.9837353745345769,140,0.4810116146319485
ZERO_SHOT,CENTRAL,3,0.9906392620068226,140,0.48182166745050087
ZERO_SHOT,RANDOM,3,0.9906392620068226,140,0.48182166745050087
CURVE_SPLINE_SHAPEONLY,RANDOM,5,1.019559312675341,99,0.528774610711843
CURVE_SPLINE_SHAPEONLY,CENTRAL,5,1.019559312675341,99,0.528774610711843
MASSACTION_SHAPEONLY,RANDOM,5,1.0195602613498016,99,0.5204436457459926
MASSACTION_SHAPEONLY,CENTRAL,5,1.0195602613498016,99,0.5204436457459926
ZERO_SHOT,RANDOM,5,1.0261152969986587,99,0.537911226517548
ZERO_SHOT,CENTRAL,5,1.0261152969986587,99,0.537911226517548
