seed,fold,model,mae,macro_mae,n_test,r2
196613,0,1NN_mechanism,0.9993950767261189,1.0177497527341752,64,0.13000006530438757
196613,0,3NN_mechanism,1.017837913210505,1.0042142744674702,64,0.1067233603198432
196613,0,5NN_mechanism,0.9904153363375956,0.9977231272872157,64,0.08867715930577869
196613,0,KERNEL_mechanism,1.0279197939206184,1.0399248030665327,64,0.011992584693879427
196613,0,1NN_donors,1.2270051468082475,1.1945031775381623,64,-0.30654116389311303
196613,0,3NN_donors,1.1319270226372855,1.1294585064548184,64,-0.11915834175310436
196613,0,5NN_donors,1.1906794722155971,1.1809126753487549,64,-0.22021561867775352
196613,0,KERNEL_donors,1.012229307677097,1.0260256134904413,64,0.04299527242891543
196613,0,RIDGE_mech,1.043844030747487,1.0548669874308325,64,-0.004367325369001529
196613,0,ET_mech,1.00378865737654,1.024758098664554,64,0.09543382305707282
196613,0,RIDGE_donors,1.0274045823966635,1.0382593198929013,64,0.019984888352327146
196613,0,ET_donors,0.9928383498224994,0.9986404118835432,64,0.05920839158533475
196613,1,NULL_global_mean,1.343764553135197,1.400190778141957,21,0.0
196613,1,1NN_tanimoto,1.057576925874338,1.095968741758848,21,0.3896175646683364
196613,1,3NN_tanimoto,1.2011448971375054,1.2504401393443807,21,0.2057575000712556
196613,1,5NN_tanimoto,1.2794897682663045,1.3284425170624115,21,0.13060628501422789
196613,1,KERNEL_tanimoto,1.3295708773157897,1.3852874185315796,21,0.01591631638267521
196613,1,1NN_mechanism,1.233525140541119,1.2844393949181747,21,0.26726008970954696
196613,1,3NN_mechanism,1.3432189310563953,1.3969121124388448,21,0.062009359294271316
196613,1,5NN_mechanism,1.3236871572842492,1.3791095124984618,21,0.059437709293014174
196613,1,KERNEL_mechanism,1.350359263438566,1.4068163053512466,21,0.02445311581726417
196613,1,1NN_donors,1.1619250316577223,1.2092592805906086,21,0.3177818063510164
196613,1,3NN_donors,1.2367825344616872,1.2878596585347717,21,0.17335216411302357
196613,1,5NN_donors,1.3830877749993373,1.4409224267985323,21,0.003938091960650425
196613,1,KERNEL_donors,1.2458553625900488,1.2973861280695513,21,0.2325780160635985
196613,1,RIDGE_mech,1.3334045331802848,1.3894197668882033,21,0.023695260371625393
196613,1,ET_mech,1.1910359363195548,1.240490053138132,21,0.2275218108775049
196613,1,RIDGE_donors,1.3357295981948785,1.3917540754546223,21,0.012909058153246722
196613,1,ET_donors,1.260902857721171,1.3131859979572291,21,0.1340158813268706
196613,2,NULL_global_mean,1.0380373946773898,0.9505086219441994,17,0.0
196613,2,1NN_tanimoto,0.8942133149737598,0.8452523608192628,17,0.24332982682119886
196613,2,3NN_tanimoto,1.1135791418013443,1.0278909247270664,17,-0.09670530541461786
196613,2,5NN_tanimoto,1.0676830045461856,0.9841521659899995,17,-0.004070854014306402
196613,2,KERNEL_tanimoto,1.0453270743752194,0.9568500277654505,17,-0.0074543338887567145
196613,2,1NN_mechanism,1.1810646632618078,1.1058238035305683,17,-0.20084675383331918
196613,2,3NN_mechanism,1.1482050530099206,1.0780996727216587,17,-0.09778380767123784
196613,2,5NN_mechanism,1.1749025586421469,1.0985229520840116,17,-0.1311099726279361
196613,2,KERNEL_mechanism,1.1020317449497206,1.0172757532370722,17,-0.0621806808736336
196613,2,1NN_donors,1.2344552200938552,1.1564818906153953,17,-0.3837733688284679
196613,2,3NN_donors,1.1226458510769068,1.0410641392799063,17,-0.09390397249960647
196613,2,5NN_donors,1.0495891221327662,0.9780322635004962,17,0.09312957135365141
196613,2,KERNEL_donors,1.1336747432470702,1.048748311197456,17,-0.1343381762034206
196613,2,RIDGE_mech,1.1368853353088075,1.0567008016185935,17,-0.07258805777312083
196613,2,ET_mech,1.0994421799796625,1.0237176367040206,17,-0.07379083857618474
196613,2,RIDGE_donors,1.0908114161631621,1.0041485013784313,17,-0.049535794352808526
196613,2,ET_donors,1.1583124159733644,1.074723334329915,17,-0.15400043710705713
196613,3,NULL_global_mean,0.8503925140294759,0.8883401125852617,20,0.0
196613,3,1NN_tanimoto,0.7161597879989203,0.7438804627498001,20,0.1978844130839139
196613,3,3NN_tanimoto,0.7947695996550403,0.8320385049439022,20,0.1812417473090402
196613,3,5NN_tanimoto,0.8152967099861176,0.8536459895029307,20,0.10174123945761882
196613,3,KERNEL_tanimoto,0.8443180006731005,0.8837861913071264,20,0.009955908707321992
196613,3,1NN_mechanism,0.6389134073273869,0.6642043968797054,20,0.384789463008667
196613,3,3NN_mechanism,0.7664237121412695,0.8018779312273324,20,0.2275912248161457
196613,3,5NN_mechanism,0.7505219480751719,0.787336268395522,20,0.24266644702671902
196613,3,KERNEL_mechanism,0.8186549486405046,0.8573113456826809,20,0.05743759846668006
196613,3,1NN_donors,0.8141750387676469,0.8222502202691008,20,0.2374442478524773
