build_id,geometry_key,geometry_source,xyz_path,n_atoms,xtb_properties_available,xtb_provenance,complex_pi_eligible
8f13cdeb94ed,62|O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_8f13cdeb94ed.xyz,104,True,extxyz_xtb_properties_present,True
9103a2256b97,62|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_9103a2256b97.xyz,214,True,extxyz_xtb_properties_present,True
932854907794,62|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_932854907794.xyz,340,True,extxyz_xtb_properties_present,True
957e1899e9b4,62|CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_957e1899e9b4.xyz,448,True,extxyz_xtb_properties_present,True
9727f98dd0ad,62|CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_9727f98dd0ad.xyz,248,True,extxyz_xtb_properties_present,True
4f6b97b03ea1,62|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_a2a36cd7a4f4.xyz,196,True,extxyz_xtb_properties_present,True
a738655fc126,62|CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_a738655fc126.xyz,172,True,extxyz_xtb_properties_present,True
ac443d1a57b1,62|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_ac443d1a57b1.xyz,367,True,extxyz_xtb_properties_present,True
b33c3ceeb432,62|CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_b33c3ceeb432.xyz,322,True,extxyz_xtb_properties_present,True
b3d7d325246c,62|CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_b3d7d325246c.xyz,268,True,extxyz_xtb_properties_present,True
cd4e4f1ad90f,62|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_b4c75f037006.xyz,126,True,extxyz_xtb_properties_present,True
b6b591990df4,62|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_b6b591990df4.xyz,214,True,extxyz_xtb_properties_present,True
ab02e91222ef,62|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_b9cb0fd3aa1f.xyz,103,True,extxyz_xtb_properties_present,True
bf70acef9bd9,62|CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_bf70acef9bd9.xyz,148,True,extxyz_xtb_properties_present,True
bf99bcffb62a,62|CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_bf99bcffb62a.xyz,232,True,extxyz_xtb_properties_present,True
c0cc4b663d20,62|CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_c0cc4b663d20.xyz,196,True,extxyz_xtb_properties_present,True
c34baebca319,62|CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_c34baebca319.xyz,344,True,extxyz_xtb_properties_present,True
c3c900cb0dfb,62|CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_c3c900cb0dfb.xyz,277,True,extxyz_xtb_properties_present,True
c614ad7fb8d4,62|COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC|water,final_dataset_3d/accepted_geometries.csv,geometries/Sm_c614ad7fb8d4.xyz,64,True,extxyz_xtb_properties_present,True
7429951183bc,62|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_ca5af664bc2a.xyz,184,True,extxyz_xtb_properties_present,True
fc63c5b6f4ea,62|CCCCCCOP(=O)(O)OCCCCCC|nitrate,final_dataset_3d/accepted_geometries.csv,geometries/Sm_cfff67068369.xyz,89,False,unverified_missing_xtb_properties,False
