arm,half,seed,v1_outer_fold_unit,n_rows,mae,mse,rmse,mean_error,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,unit_reading,unit
B0,selection,,,11,1.05163,1.86663,1.36625,1.05163,0.636364,2.22808,0.818182,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_723ceb6c2c
B0,selection,,,26,2.08089,4.69214,2.16613,0.129275,0.0769231,2.1544,0.538462,4.26432,1,6.1544,exploratory: publication group (the as-run pre-seal V1 reading),pub_74428aeab2
B0,selection,,,1,3.11292,9.69029,3.11292,3.11292,0,2.22808,0,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_792969545c
B0,selection,,,16,0.994726,1.16677,1.08017,-0.994726,0.5625,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_84113c17ad
B0,selection,,,120,1.15677,2.67467,1.63544,0.572238,0.608333,2.15631,0.8,4.2685,0.9,6.11175,exploratory: publication group (the as-run pre-seal V1 reading),pub_8415538291
B0,selection,,,3,0.479795,0.273789,0.523248,-0.479795,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_886ede1e0e
B0,selection,,,47,1.0641,1.94928,1.39616,0.583721,0.595745,2.17657,0.829787,4.27171,0.978723,6.11002,exploratory: publication group (the as-run pre-seal V1 reading),pub_8a081dc888
B0,selection,,,63,0.634815,0.574035,0.757651,0.217638,0.873016,2.17615,1,4.27511,1,6.06981,exploratory: publication group (the as-run pre-seal V1 reading),pub_8dafaf94bc
B0,selection,,,27,0.94746,1.14201,1.06865,-0.725759,0.518519,2.15906,1,4.26919,1,6.06255,exploratory: publication group (the as-run pre-seal V1 reading),pub_917a4583d4
B0,selection,,,108,1.00067,1.65093,1.28488,0.269666,0.638889,2.18098,0.888889,4.26319,0.972222,6.15171,exploratory: publication group (the as-run pre-seal V1 reading),pub_92fd5bea1e
B0,selection,,,12,0.238801,0.0773764,0.278166,-0.0408489,1,2.22808,1,4.43035,1,6.29173,exploratory: publication group (the as-run pre-seal V1 reading),pub_9428119866
B0,selection,,,21,1.20417,1.80368,1.34301,1.19885,0.47619,2.18454,1,4.29243,1,6.18454,exploratory: publication group (the as-run pre-seal V1 reading),pub_97510df3a0
B0,selection,,,40,0.322768,0.195152,0.44176,-0.0264356,0.975,2.17765,1,4.26369,1,6.23342,exploratory: publication group (the as-run pre-seal V1 reading),pub_a470dfb784
