ablation,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A3,3,2,3,134750,1.0,4,0.387523035888627,3778,0.4041919346406929,0.581236480965116,0.39206719868600026,0.6436502489979988,0.5434861334168005,False
A4,3,0,3,134750,0.35,2,0.3549697000369189,3778,0.3889166747511273,0.5622545095060986,0.43112644962994007,0.6646009702871287,0.5819086321412585,False
A4,3,1,3,134750,0.7,2,0.35303443786260363,3778,0.39258264047944796,0.5673893988550855,0.4206883244380979,0.6608735615416897,0.5737845242611345,True
A4,3,2,3,134750,1.0,4,0.35843073214001764,3778,0.39707148738540804,0.5723993599088416,0.41041269187501694,0.6536085329073087,0.5691465065555418,False
A5,3,0,3,134750,0.35,2,0.3588932333311062,3778,0.39022498093497066,0.5725063569371761,0.410192251425921,0.6532147101153662,0.5858579762909664,True
A5,3,1,3,134750,0.7,2,0.3658103794148788,3778,0.39903024469757187,0.5810150363563079,0.3925303416605471,0.6429500352207503,0.5773954171857832,False
A5,3,2,3,134750,1.0,4,0.36963392185336874,3778,0.4059302038468355,0.5880984547500199,0.3776281750663405,0.6326077127666772,0.5693705517880295,False
A6,3,0,3,134750,0.35,2,0.36301674122164623,3778,0.39561718228222437,0.5791765178007513,0.3963687180939426,0.6430871567655688,0.5796052648838038,True
A6,3,1,3,134750,0.7,2,0.363960766053494,3778,0.3989200533215537,0.578931015981648,0.3968803450858044,0.6451620088111729,0.5814572923278696,False
A6,3,2,3,134750,1.0,4,0.37068685770151605,3778,0.4055700846965464,0.5881124466094544,0.3775985601519981,0.6326401305043128,0.5713438029509031,False
A2+D1,3,0,3,134750,0.35,2,0.3517642228694514,3778,0.3841445260321394,0.5597668463032494,0.43614921108060767,0.6688368338587536,0.5866001566907247,True
A2+D1,3,1,3,134750,0.7,2,0.35789081242352827,3778,0.3920221917285643,0.5636099209379147,0.4283804081695184,0.6654846459661601,0.5780600552214126,False
A2+D1,3,2,3,134750,1.0,4,0.36332794042721783,3778,0.39714918467375987,0.5708682081564246,0.4135627311352029,0.6558265049057191,0.5693670311305752,False
A2+D2,3,0,3,134750,0.35,2,0.3496670585306889,3778,0.3848552457563604,0.5625148566036055,0.43059950368480016,0.665231628614963,0.583500179033435,True
A2+D2,3,1,3,134750,0.7,2,0.3538845445446627,3778,0.3912087973408279,0.5626847096616899,0.43025558737381475,0.6670021488534753,0.5774819411802558,False
A2+D2,3,2,3,134750,1.0,4,0.3567618071241015,3778,0.39580183006680936,0.5710779626598501,0.4131317018545574,0.6557213564637964,0.5687309951258568,False
