cell,rank,label,candidate,n_draws,n_converged,n_failed,purity_p5,purity_p50,purity_p95,recovery_p5,recovery_p50,recovery_p95,p_converged,p_constraints,p_feasible,p_phase_unknown,p_third_phase_risk,p_purity_ge_0.95,p_purity_ge_0.97,p_purity_ge_0.99,p_recovery_ge_0.80,p_recovery_ge_0.85,p_recovery_ge_0.90,p_both_0.95_0.80,p_both_feasible_0.95_0.80,p_both_0.95_0.85,p_both_feasible_0.95_0.85,p_both_0.95_0.90,p_both_feasible_0.95_0.90,p_both_0.97_0.80,p_both_feasible_0.97_0.80,p_both_0.97_0.85,p_both_feasible_0.97_0.85,p_both_0.97_0.90,p_both_feasible_0.97_0.90,p_both_0.99_0.80,p_both_feasible_0.99_0.80,p_both_0.99_0.85,p_both_feasible_0.99_0.85,p_both_0.99_0.90,p_both_feasible_0.99_0.90,consumption_index_median,throughput_median,n_stages_total,n_ext,n_scr,n_str,oa_ext,s_over_a,w_over_a,feed_stage_offset,scrub_return_offset,scrub_acid_M,scrub_target_mM,strip_acid_M,ligand_total_M,statuses_used,support_rank,obj_p_both_feasible,obj_p_both
0.95_0.80,41,transfer-unsupported,16,64,63,1,0.955156,1,1,2.49807e-17,3.76775e-08,4.46711e-05,0.984375,0.015625,0.015625,0,0.984375,0.9375,0.890625,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7826.19,0.000909757,44,21,11,12,1.20857,3.99646,0.27085,6,0,1.57992,26.0149,2.97526,0.228208,INTERPOLATION,2,0,0
0.95_0.80,42,transfer-unsupported,103,64,64,0,0.98385,1,1,5.56022e-09,5.17635e-07,1.65545e-06,1,0.015625,0.015625,0,0.984375,1,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8626.53,0.00190984,29,6,2,21,1.05144,4.11599,3.17319,3,0,1.5082,37.6599,3.23564,0.0712129,INTERPOLATION,2,0,0
0.95_0.80,43,transfer-unsupported,83,64,64,0,0.972904,1,1,2.14584e-15,8.97933e-10,9.1299e-08,1,0.015625,0.015625,0,0.984375,1,0.96875,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990.25,0.0029902,55,18,12,25,2.75748,3.50047,4.84937,0,5,1.19209,43.2899,4.68227,0.0600814,INTERPOLATION,2,0,0
0.95_0.80,44,transfer-unsupported,131,64,64,0,0.786536,0.982236,1,7.36749e-10,0.0605253,0.094536,1,0.015625,0.015625,0,0.984375,0.59375,0.53125,0.484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10041.3,0.00257834,32,9,9,14,1.61242,2.54204,4.05602,8,0,2.74116,9.63363,4.6651,0.148203,INTERPOLATION,2,0,0
0.95_0.80,45,transfer-unsupported,194,64,64,0,0.178377,0.891819,1,1.96115e-17,0.0445964,0.0605254,1,0.015625,0.015625,0,0.984375,0.421875,0.40625,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10242.6,0.00070119,66,17,20,29,0.77932,1.09788,2.82369,14,0,2.44196,1.36969,1.59402,0.100099,INTERPOLATION,2,0,0
0.95_0.80,46,transfer-unsupported,6,64,64,0,0.826985,0.999793,1,1.54862e-09,0.00226286,0.0217947,1,0.015625,0.015625,0,0.984375,0.734375,0.703125,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11393.6,0.00123952,42,16,10,16,1.46939,2.16923,1.94285,0,2,3.47767,7.44465,3.38602,0.0555087,INTERPOLATION,2,0,0
0.95_0.80,47,transfer-unsupported,215,64,63,1,0.265446,0.867964,1,0.000176312,0.111992,0.149656,0.984375,0.015625,0.015625,0,0.984375,0.359375,0.359375,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11883.9,0.00164104,41,3,30,8,1.57486,0.343511,4.7073,0,2,3.97333,7.58607,3.85294,0.0647626,INTERPOLATION,2,0,0
0.95_0.80,48,transfer-unsupported,123,64,64,0,0.741296,0.999283,1,6.13645e-08,0.0104578,0.0306504,1,0.015625,0.015625,0,0.984375,0.703125,0.6875,0.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11983,0.00148202,15,4,6,5,0.624168,1.02625,3.60103,3,0,2.43149,14.2144,4.2387,0.130341,INTERPOLATION,2,0,0
0.95_0.80,49,transfer-unsupported,65,64,63,1,0.922656,1,1,1.87446e-21,1.89241e-09,3.86592e-05,0.984375,0.015625,0.015625,0,0.984375,0.890625,0.875,0.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12863,0.00110427,35,11,23,1,2.54158,4.78662,1.83971,0,2,1.53859,15.9225,3.71772,0.0818226,INTERPOLATION,2,0,0
0.95_0.80,50,transfer-unsupported,101,64,64,0,0.991183,1,1,1.49551e-19,6.44611e-12,5.90442e-08,1,0.015625,0.015625,0,0.984375,1,0.96875,0.953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14823.3,0.000292956,25,13,6,6,1.22748,3.69029,0.481313,7,0,0.648376,42.5982,4.05115,0.202478,INTERPOLATION,2,0,0
